Player;Pos;Squad;Min;Non-penalty Expected Goals;Non-penalty Expected Goals/Shot;Expected Assists;Shot-Created Actions;Completed Passes into Penalty Box;Passes Completed %;Key Passes;Successful Dribbles;Successful Dribbles %;Dispossessed;Successful Pressures
Stefano Denswil;CB;Bologna;115;0;0;0;1.54;0.77;81;0;0.77;100;0;5.38
Fabio Depaoli;FB;Benevento;1120;0.02;0.03;0.03;1.05;1.21;73.5;0.56;0.32;40;0.32;5.48
Fabio Depaoli;FB;Sampdoria;77;0.22;0.08;0.11;1.11;0;60;1.11;0;0;0;4.44
Fabio Depaoli;FB;Atalanta;191;0;0;0.05;1.9;0.48;83.5;0.95;0.48;100;2.38;4.29
Memphis Depay;FW;Lyon;2923;0.36;0.11;0.42;5.14;1.85;70.5;2.8;2.71;62;2.71;2.28
Clément Depres;FW;Nîmes;14;0;0;0;0;0;50;0;0;0;0;0
Mike van der Hoorn;CB;Arminia;1356;0.02;0.08;0.01;0.4;0.2;87.1;0.2;0.07;50;0.26;2.12
Kastriot Dermaku;CB;Parma;100;0;0;0;0;0;89.7;0;0;0;0;2.73
Kiril Despodov;W;Cagliari;11;0;0;0;0;0;0;0;0;0;0;20
Sergiño Dest;FB;Barcelona;1886;0.12;0.18;0.12;1.81;1.24;89.4;1.05;1.57;55.9;1.43;4.43
Mattia Destro;FW;Genoa;1606;0.38;0.18;0.03;0.9;0.28;70.3;0.39;1.24;48.9;1.74;3.65
Gerard Deulofeu;W;Udinese;598;0.2;0.08;0.17;2.58;1.82;68.4;1.06;1.52;47.6;1.36;4.55
Deyverson;FW;Alavés;874;0.19;0.13;0.16;1.75;0.82;50;0.72;0.62;40;1.34;5.15
Jacopo Dezi;CM;Parma;79;0;0.05;0.22;1.11;1.11;74.4;1.11;1.11;50;2.22;3.33
Samuel Di Carmine;FW;Hellas Verona;500;0.29;0.17;0.02;1.96;0.36;61.8;0.71;0.18;100;2.14;2.86
Samuel Di Carmine;FW;Crotone;475;0.08;0.07;0;0.75;0.57;77.5;0;0;0;1.51;1.51
Giovanni Di Lorenzo;FB;Napoli;3240;0.11;0.12;0.13;2.86;1.67;87.2;1.25;0.78;50;0.58;3.89
Ángel Di María;W;Paris Saint-Germain;1853;0.25;0.09;0.51;6.21;3.59;73;3.25;2.23;51.7;1.7;4.47
Alessandro Di Pardo;W;Juventus;14;0;0;0;10;0;55.6;5;10;100;0;5
Giuseppe Di Serio;FW;Benevento;292;0.19;0.13;0;2.19;1.25;69.7;0.31;1.25;100;3.44;3.13
Boulaye Dia;FW;Reims;2930;0.29;0.16;0.06;2.24;0.49;80.5;0.95;1.47;61.5;2.12;3.19
Abdoulay Diaby;W;Getafe;18;1.5;0.34;0.5;10;0;50;5;0;0;5;0
Moussa Diaby;W;Leverkusen;2388;0.21;0.11;0.26;2.94;1.58;76.1;1.66;2.15;46.7;2.11;2.75
Mbaye Diagne;FW;West Brom;1189;0.38;0.2;0.13;2.2;0.38;70.4;0.91;0.98;81.3;1.97;3.03
Mouctar Diakhaby;CB;Valencia;2079;0.05;0.1;0;0.22;0.04;86;0;0.13;60;0.17;2.34
Abdou Diallo;CB;Paris Saint-Germain;1490;0.02;0.07;0.03;0.36;0.3;93.1;0.06;1.2;57.1;0.24;2.47
Amad Diallo;W;Manchester Utd;166;0;0.04;0.28;1.11;0.56;84.4;1.11;1.67;33.3;3.33;7.78
Amad Diallo;W;Atalanta;14;0;0.03;0.5;15;5;90;5;10;100;0;0
Habib Diallo;FW;Strasbourg;2322;0.25;0.12;0.12;1.94;0.66;69.9;0.81;0.62;44.4;1.78;2.79
Habib Diallo;FW;Metz;143;0.25;0.19;0.19;0.63;1.88;58.3;0.63;0;0;4.38;3.75
Ibrahima Diallo;CM;Southampton;1020;0.05;0.08;0.04;1.59;0.53;85.2;0.71;0.97;64.7;1.86;7.26
Ibrahima Diallo;CM;Brest;440;0;0.02;0.08;2.24;0.2;86.9;0.82;1.43;77.8;1.02;4.9
Amadou Diambo;CM;Benevento;3;0;0;0;0;0;87.5;0;2;66.7;0;0
Grady Diangana;W;West Brom;1235;0.09;0.09;0.01;1.46;0.51;72.9;0.36;1.75;48;2.99;4.89
Stéphane Diarra;W;Lorient;197;0.05;0.05;0.14;3.64;3.64;70.6;2.73;1.82;30.8;5.91;4.55
Raphael Dias Belloli;W;Leeds United;2360;0.23;0.09;0.31;4.16;1.6;66.7;2.52;2.33;51.7;1.37;3.74
Raphael Dias Belloli;W;Rennes;404;0.27;0.11;0.22;5.33;1.33;64.7;2;2.89;46.4;1.56;2.44
Rúben Dias;CB;Manchester City;2843;0.08;0.17;0;0.66;0.28;93.6;0.09;0.09;50;0.16;2.12
Krepin Diatta;W;Monaco;389;0.12;0.18;0.02;1.4;0.23;73.3;0.47;2.09;69.2;3.26;4.65
Amadou Diawara;CM;Roma;658;0.15;0.16;0.08;0.96;0.27;89.2;0.27;0.41;60;0.68;5.75
Brahim Díaz;AM;Milan;1228;0.24;0.13;0.12;3.46;0.74;86.8;1.4;2.43;63.5;2.65;5.59
Víctor Díaz;FB;Granada;828;0.03;0.05;0.03;1.2;0.65;68.8;0.76;0.11;20;0.11;3.26
Daniel Didavi;AM;Stuttgart;970;0.3;0.13;0.28;3.15;2.04;74.1;2.31;0.93;76.9;1.76;5.09
Eric Dier;CB;Tottenham;2520;0.03;0.06;0;0.57;0.18;84.6;0.11;0.11;60;0.07;1.71
Daan Dierckx;CB;Parma;471;0;0;0;0;0.19;87.9;0;0;0;0.19;3.27
Lucas Digne;FB;Everton;2681;0.02;0.04;0.18;2.35;1.24;72.5;1.48;0.47;60.9;1.07;3.59
Virgil van Dijk;CB;Liverpool;370;0.07;0.08;0;0.24;0;90;0;0;0;0;0.73
Mitchell Dijks;FB;Bologna;1481;0;0.02;0.01;1.03;0.36;76.8;0.36;1.76;46;1.09;4.48
Javairô Dilrosun;W;Hertha BSC;529;0.14;0.1;0.07;2.37;1.53;74.9;0.85;2.03;48;1.53;5.76
Federico Dimarco;FB;Hellas Verona;2613;0.08;0.06;0.23;3.62;1.28;71.1;2.31;0.48;58.3;0.55;3.03
Tristan Dingomé;CM;Reims;15;0;0;0;0;0;73.3;0;0;0;0;0
Eren Dinkçi;FW;Werder Bremen;108;0.33;0.15;0.08;2.5;1.67;74.1;2.5;0.83;33.3;4.17;1.67
Sinaly Diomande;CB;Lyon;1133;0.08;0.06;0.02;0.48;0.24;89;0.32;0.48;75;0.08;2.7
Lois Diony;FW;Angers;1749;0.18;0.13;0.07;1.49;0.67;63.3;0.77;0.72;28;2.22;4.18
Issa Diop;CB;West Ham;1381;0.02;0.11;0;0.26;0;84.4;0.07;0.33;100;0.2;2.68
Papakouli Diop;CM;Eibar;2324;0.07;0.07;0.04;1.16;0.39;70.5;0.58;0.31;61.5;0.62;4.42
Sofiane Diop;AM;Monaco;2023;0.2;0.1;0.1;2.8;1.11;78.8;1.29;1.69;62.3;2.4;6.27
Andy Diouf;W;Rennes;12;0;0;0;0;0;50;0;0;0;0;0
Yehvann Diouf;GK;Reims;135;0;0;0;0;0;76.9;0;0.67;100;0;0
Assane Dioussé;CM;Saint-Étienne;1;0;0;0;0;0;100;0;0;0;0;0
Axel Disasi;CB;Monaco;2011;0.1;0.12;0.02;0.36;0.31;86.7;0.13;0.36;100;0.27;3.36
Tiago Djaló;CB;Lille;873;0;0.01;0.02;0.82;0.21;87.7;0.21;0.82;57.1;0.93;3.92
Djené;CB;Getafe;2941;0.01;0.09;0;0.43;0.06;76.7;0.15;0.28;69.2;0.34;3.12
Moussa Djenepo;W;Southampton;1240;0.07;0.06;0.04;2.25;0.94;73.8;0.51;2.54;53.8;1.67;6.88
Koffi Djidji;CB;Crotone;1524;0.02;0.11;0.01;0.59;0.06;81.7;0.24;0.47;61.5;0.65;4.56
Alexander Djiku;CB;Strasbourg;2552;0.06;0.13;0.02;0.6;0.04;86.6;0.14;0.25;87.5;0.28;3.59
Berat Djimsiti;CB;Atalanta;2625;0.07;0.1;0.08;1.3;0.72;88.1;0.51;0.24;70;0.41;4.18
Marko Dmitrović;GK;Eibar;3120;0;0.07;0.01;0.2;0.06;54;0.12;0.03;100;0;0
Ritsu Doan;W;Arminia;2768;0.16;0.07;0.11;2.89;1.07;63.4;1.49;2.21;52.3;2.76;6.56
Mihai Dobre;W;Dijon;529;0.08;0.06;0.05;2.03;0;75;0.68;2.54;65.2;1.86;4.75
Matt Doherty;FB;Tottenham;1240;0.03;0.14;0.06;1.59;1.01;80.6;0.8;0.51;43.8;0.87;2.75
Jeremy Doku;W;Rennes;2313;0.14;0.1;0.14;3.5;2.26;81.4;1.6;3.46;58.2;3.04;5.29
Kasper Dolberg;FW;Nice;1928;0.28;0.17;0.05;1.26;0.14;79;0.56;0.65;48.3;2.15;3.22
Keagan Dolly;W;Montpellier;452;0.02;0.02;0.04;3;0.2;84.3;0.8;0.8;44.4;1.6;3
Jaume Doménech;GK;Valencia;2520;0;0;0;0.04;0;69.5;0;0.04;100;0;0.04
Carlos Dominguez;CB;Celta Vigo;360;0.03;0.11;0.03;0.25;0;83.1;0.25;0;0;0;2.25
Nicolás Domínguez;CM;Bologna;1255;0.11;0.08;0.17;3.17;1.01;86.1;1.51;0.65;90;1.22;6.62
John Donald;CM;Elche;50;0;0;0;0;0;95;0;0;0;0;3.33
Ji Dong-won;FW;Mainz 05;62;0;0;0;2.86;0;55.6;1.43;0;0;0;5.71
Anastasios Donis;FW;Reims;97;0;0.03;0;0.91;0.91;65;0;0.91;50;1.82;1.82
Gianluigi Donnarumma;GK;Milan;3330;0;0;0;0.16;0;78.5;0;0.05;100;0;0
Gabriel Dos Santos;CB;Arsenal;1996;0.05;0.06;0;0.45;0.14;86;0.09;0.18;44.4;0.18;2.48
Bas Dost;FW;Eintracht Frankfurt;817;0.38;0.25;0.25;1.98;0.66;65.1;1.21;0.11;100;0.99;3.41
Lucas Douath;CM;Saint-Étienne;1327;0.03;0.09;0.01;0.95;0.14;86.6;0.2;0.88;54.2;0.95;5.85
Abdoulaye Doucouré;CM;Everton;2443;0.08;0.12;0.08;1.51;0.77;86;0.66;0.63;60.7;1.11;5.83
Cheick Doucouré;CM;Lens;2627;0.04;0.03;0.06;2.05;0.68;87;0.86;1.06;75.6;0.79;5.82
Fodé Doucouré;FB;Reims;333;0.05;0.06;0.14;1.89;0.81;77.2;1.08;0.81;75;0.81;2.43
Mahamadou Doucouré;W;Nîmes;45;0;0;0;0;0;76.9;0;0;0;2;6
Cheick Doukouré;CM;Levante;101;0;0;0.09;0.91;0;86.7;0.91;0.91;50;1.82;7.27
Idrissa Doumbia;CM;Huesca;779;0.05;0.1;0;1.03;0.11;91.5;0.11;1.61;77.8;0.8;4.48
Moussa Doumbia;W;Reims;899;0.06;0.04;0.12;3.3;1.1;81.1;1.4;2.4;55.8;2.4;2.8
Souleyman Doumbia;FB;Angers;2222;0.02;0.07;0.11;1.01;0.77;81.7;0.69;1.34;67.3;1.09;3.44
Aleksandar Dragović;CB;Leverkusen;1136;0.02;0.1;0.03;1.27;0.32;89;0.48;0.4;100;0.08;3.89
Bartłomiej Drągowski;GK;Fiorentina;3148;0;0;0;0.06;0.03;65.5;0.03;0;0;0;0.06
Denis Drăguș;FW;Crotone;177;0.05;0.02;0;1;2;74.6;0;3;75;4;6.5
Radu Drăgușin;CB;Juventus;1;0;0;0;0;0;100;0;0;0;0;0
Mouhamadou Drammeh;CM;Reims;173;0;0.02;0;1.58;0;81.1;1.05;2.63;83.3;1.58;4.21
Julian Draxler;AM;Paris Saint-Germain;1064;0.19;0.18;0.24;3.73;1.86;86.4;2.29;1.78;63.6;1.19;2.63
Dominick Drexler;AM;Köln;1233;0.2;0.23;0.12;2.26;1.17;76.7;1.02;0.73;52.6;1.68;6.06
Matthieu Dreyer;GK;Lorient;1350;0;0;0;0.07;0;62.3;0;0;0;0;0
Domingos Duarte;CB;Granada;2363;0.05;0.19;0.04;0.42;0.15;80.3;0.19;0.15;80;0.23;1.79
Léo Duarte;CB;Milan;19;0;0;0;0;0;100;0;0;0;0;15
Óscar Duarte;CB;Levante;2060;0.05;0.19;0.01;0.44;0;87.4;0.17;0.13;75;0.09;2.62
Rubén Duarte;FB;Alavés;2545;0.05;0.11;0.08;1.7;0.85;70.8;0.92;0.18;45.5;0.25;4.06
Leo Dubois;FB;Lyon;2903;0.03;0.05;0.18;3.59;1.67;79.4;2.11;1.08;62.5;0.77;3.78
Martin Dúbravka;GK;Newcastle Utd;1170;0;0;0;0;0;72.6;0;0;0;0.08;0.15
Ondrej Duda;AM;Köln;2537;0.1;0.06;0.15;3.01;0.82;71.8;1.56;1.99;71.8;1.42;4.47
Unai Dufur;CB;Eibar;62;0;0;0;0;0;79.1;0;0;0;0;7.14
Haris Duljević;W;Nîmes;773;0.13;0.08;0.15;2.79;1.74;77.8;1.4;3.72;69.6;2.79;3.95
Paul Dummett;FB;Newcastle Utd;1255;0.02;0.1;0.04;0.36;0.36;76.8;0.29;0.14;66.7;0.07;2.01
Alfred Duncan;CM;Fiorentina;162;0;0.02;0;2.22;0;76.5;0.56;2.78;100;1.11;2.78
Alfred Duncan;CM;Cagliari;1068;0.02;0.03;0.09;1.51;1.09;81.2;0.76;1.09;68.4;1.43;4.62
Lewis Dunk;CB;Brighton;2931;0.08;0.08;0.03;0.58;0.06;90;0.28;0.15;83.3;0.06;2.15
Jimmy Dunne;CB;Burnley;270;0.13;0.06;0.03;1;0.33;71.2;0.67;0.33;50;0;3.67
Erik Durm;FB;Eintracht Frankfurt;1480;0.1;0.08;0.13;1.65;0.91;70.2;0.73;0.67;57.9;0.91;4.82
Hugo Duro;FW;Real Madrid;55;0.17;0.14;0.17;1.67;1.67;100;1.67;0;0;0;0
Jean-Kevin Duverne;CB;Brest;2029;0.03;0.07;0.03;0.44;0.18;84.6;0.18;0.76;85;0.58;3.47
Paulo Dybala;AM;Juventus;1132;0.37;0.09;0.23;4.92;2.06;82;2.46;2.14;62.8;2.06;4.52
Edin Džeko;FW;Roma;1824;0.6;0.17;0.12;3.1;0.79;66.9;1.33;1.23;48.1;2.07;2.71
Eric Junior Dina Ebimbe;W;Dijon;2144;0.16;0.08;0.08;2.56;0.76;79;0.88;2.56;60.4;2.61;4.03
Steeve-Mike Ebongue;CM;Genoa;52;0;0;0.83;3.33;1.67;81.5;1.67;0;0;0;11.7
Enzo Ebosse;FB;Angers;260;0;0;0.21;0.34;0;83;0.34;0;0;0;4.83
Bruno Ecuele Manga;CB;Dijon;3420;0.04;0.05;0;0.18;0.08;86.3;0.03;0.26;83.3;0.18;2.29
Simone Edera;W;Torino;52;0.33;0.06;0.33;3.33;0;72.7;3.33;3.33;100;0;5
Ederson;GK;Manchester City;3240;0;0;0.01;0.14;0.06;83.1;0.03;0;0;0;0.03
Kyle Edwards;W;West Brom;118;0.08;0.07;0;0.77;0;85.7;0;0.77;25;1.54;1.54
John Egan;CB;Sheffield Utd;2629;0.02;0.05;0.01;0.45;0.24;84.6;0.1;0.07;100;0.03;2.81
Johannes Eggestein;FW;Werder Bremen;33;0;0;0;2.5;0;64.7;2.5;0;0;0;12.5
Maximilian Eggestein;CM;Werder Bremen;2942;0.03;0.05;0.1;1.77;0.83;78.6;0.8;0.49;55.2;0.89;5.05
Lilian Egloff;AM;Stuttgart;16;0;0;0;0;0;100;0;5;100;10;5
Kingsley Ehizibue;FB;Köln;1133;0.04;0.05;0.06;1.27;0.87;74.1;0.56;1.51;61.3;1.11;4.76
Albin Ekdal;CM;Sampdoria;2299;0.03;0.06;0.04;1.1;0.2;84;0.35;0.86;88;0.82;6.94
Hugo Ekitike;W;Reims;88;0.2;0.06;0;2;0;80.8;1;2;66.7;5;9
Anthony Elanga;W;Manchester Utd;155;0.18;0.09;0;1.18;0;81.1;0.59;2.35;57.1;2.35;6.47
Niclas Eliasson;W;Nîmes;1799;0.2;0.16;0.17;2.6;0.8;61.3;1.8;0.6;46.2;1.3;4.4
Elif Elmas;AM;Napoli;740;0.22;0.14;0.09;2.56;0.49;90.5;1.22;1.34;64.7;1.59;4.63
Ahmed Elmohamady;FB;Aston Villa;839;0.05;0.05;0.06;2.26;2.8;78.1;1.4;0.43;80;0.75;3.01
Mohamed Elneny;CM;Arsenal;1544;0.03;0.06;0.01;0.93;0.52;93.4;0.23;0.41;77.8;0.41;3.31
Aritz Elustondo;CB;Real Sociedad;1884;0.01;0.06;0.01;0.72;0.24;87.4;0.14;0.29;100;0.1;2.54
Nico Elvedi;CB;Mönchengladbach;2536;0.07;0.16;0.01;0.46;0.11;92.8;0.11;0.07;66.7;0.11;3.19
Rodrigo Ely;CB;Alavés;468;0.04;0.07;0.02;0.58;0.19;78.6;0.19;0.19;100;0;2.69
Sepe Elye Wahi;FW;Montpellier;555;0.32;0.17;0.13;2.42;0.32;65.5;1.13;1.29;42.1;2.1;3.71
Breel Embolo;FW;Mönchengladbach;1440;0.44;0.18;0.06;2.94;0.88;73;0.88;2.56;65.1;3.88;4.13
Emerson;FB;Betis;2991;0.04;0.11;0.07;1.93;1.27;81.2;0.93;0.69;42.6;0.93;4.85
Manu Emmanuel Gyabuaa;CM;Atalanta;2;0;0;0;0;0;100;0;0;0;0;0
Renaud Emond;FW;Nantes;354;0.33;0.19;0.03;2.31;0;70.5;0.51;0;0;1.54;5.13
Alan Empereur;CB;Hellas Verona;219;0.04;0.06;0;0.42;0;78.5;0;0;0;0.42;2.5
Youssef En-Nesyri;FW;Sevilla;2311;0.58;0.19;0.05;1.44;0;68.9;0.43;0.58;42.9;1.21;3.42
Keita Endo;W;Union Berlin;456;0.24;0.13;0.22;2.75;0.59;70.4;1.18;0.59;42.9;1.96;5.1
Wataru Endo;CM;Stuttgart;2955;0.07;0.08;0.06;2.04;0.7;84;0.76;0.88;64.4;1.86;7.07
Sergi Enrich;FW;Eibar;1404;0.32;0.12;0.06;2.05;0.51;77.1;0.83;0.77;63.2;1.09;6.73
Christian Eriksen;AM;Inter;1385;0.11;0.06;0.17;3.31;1.43;82.1;1.95;0.65;76.9;1.3;3.31
Martin Erlic;CB;Spezia;1798;0.07;0.14;0.03;0.2;0;85.6;0.05;0.2;66.7;0.3;4.15
Patrick Erras;CM;Werder Bremen;26;0;0;0;6.67;3.33;60.6;3.33;0;0;0;10
Gonzalo Escalante;CM;Lazio;733;0.07;0.09;0;1.48;0.49;88.4;0.12;0.99;88.9;0.62;7.65
Aarón Escandell;GK;Granada;450;0;0;0;0;0;49;0;0;0;0;0.2
Dani Escriche;FW;Huesca;857;0.15;0.14;0.14;2.42;0.21;74.2;0.63;1.89;38.3;2.11;3.26
Sergio Escudero;FB;Sevilla;565;0.03;0.03;0.08;1.75;1.9;84;1.11;0.32;50;0.79;3.81
Alfonso Espino;FB;Cádiz;2601;0.01;0.03;0.04;0.76;0.45;64.1;0.48;0.55;42.1;0.66;4.84
Vicente Esquerdo;AM;Valencia;231;0;0.02;0.04;1.15;0.38;79.4;0.77;0.77;50;0.77;8.08
Nahuel Estévez;CM;Spezia;1768;0.09;0.07;0.1;2.4;1.33;74.6;1.17;0.51;62.5;0.97;4.29
Pervis Estupiñán;FB;Villarreal;1168;0.04;0.05;0.1;2.15;1.69;78.4;1.15;1.08;60.9;2.08;5.38
Yoann Etienne;FB;Lorient;90;0;0;0.1;1;0;63.2;1;0;0;0;5
Xabier Etxeita;CB;Getafe;883;0.05;0.13;0.02;0.2;0;67.5;0.1;0.2;100;0.1;2.96
Jonny Evans;CB;Leicester City;2473;0.06;0.21;0.01;0.51;0.11;87.5;0.29;0.22;100;0.22;2.4
Edu Expósito;CM;Eibar;2455;0.07;0.04;0.1;3.08;0.7;74.6;1.5;1.54;67.7;1.32;5.49
Valentin Eysseric;AM;Fiorentina;729;0.27;0.17;0.06;1.98;1.11;74.2;0.99;0.49;36.4;1.11;4.07
Eberechi Eze;AM;Crystal Palace;2559;0.08;0.06;0.1;2.92;1.13;79.3;1.37;2.43;63.9;1.9;3.24
Jokin Ezkieta;GK;Athletic Club;90;0;0;0;0;0;87.5;0;0;0;0;0
Łukasz Fabiański;GK;West Ham;3150;0;0;0;0.03;0;60.5;0;0;0;0;0.06
Fabinho;CM;Liverpool;2567;0.01;0.04;0.01;0.81;0.56;91.1;0.11;0.18;55.6;0.46;4.04
Fábio;FB;Nantes;1507;0.02;0.04;0.03;1.68;0.42;77.3;0.66;0.42;38.9;0.84;6.11
Cesc Fàbregas;CM;Monaco;877;0.15;0.19;0.3;4.85;1.86;79.2;2.68;0.62;54.5;1.24;4.54
Bandiougou Fadiga;AM;Paris Saint-Germain;63;0.14;0.05;0;2.86;1.43;97.1;0;2.86;66.7;2.86;10
Bandiougou Fadiga;AM;Brest;43;0;0;0;4;2;86.2;2;0;0;6;8
Wout Faes;CB;Reims;2899;0.02;0.09;0;0.34;0.09;87.4;0.09;0.4;81.3;0.43;2.7
Nicolò Fagioli;AM;Juventus;21;0;0;0;5;0;94.4;0;10;100;0;10
Ralf Fährmann;GK;Schalke 04;1876;0;0.06;0;0.34;0;65.6;0.1;0;0;0;0.05
Romain Faivre;W;Brest;2891;0.2;0.1;0.18;4.67;1.09;80.2;1.96;2.77;66.4;1.65;5.39
Fali;CB;Cádiz;2637;0.02;0.07;0.02;0.68;0.27;70.6;0.27;0.27;88.9;0.2;2.76
Iago Falque;W;Benevento;358;0.07;0.03;0.33;7.25;3.5;75;3;1.5;54.5;2.25;3.75
Andri Fannar Baldursson;CM;Bologna;217;0.08;0.11;0.04;1.67;0.83;78.6;0.42;0.42;50;1.67;5
Paolo Faragò;FB;Bologna;23;0.33;0.07;0;6.67;3.33;84.6;0;0;0;0;6.67
Paolo Faragò;FB;Cagliari;369;0.02;0.04;0.17;1.95;1.22;83.1;1.46;0.49;33.3;0.73;3.66
Davide Faraoni;W;Hellas Verona;2891;0.13;0.11;0.12;1.31;1.15;72.1;0.72;0.72;39;0.5;3.21
Mohamed Fares;W;Lazio;1139;0.06;0.05;0.12;2.2;1.18;76.8;1.1;0.55;38.9;0.94;2.76
Diego Farias;W;Spezia;1514;0.2;0.11;0.18;3.1;1.25;81.4;1.85;1.43;72.7;0.71;2.8
Wuilker Faríñez;GK;Lens;107;0;0;0;0;0;63;0;0;0;0;0
Noah Fatar;W;Angers;21;0;0;0;0;0;77.8;0;0;0;10;0
Ansu Fati;W;Barcelona;431;0.38;0.13;0.29;3.96;1.46;84.9;1.88;3.13;60;3.13;3.75
Julien Faussurier;FB;Brest;955;0.05;0.07;0.19;2.83;2.83;76.2;1.89;0.57;54.5;0.57;3.49
Andrea Favilli;FW;Hellas Verona;339;0.47;0.15;0.03;2.63;0.26;73.2;0.53;0.79;33.3;6.32;3.68
Federico Fazio;CB;Roma;406;0.04;0.05;0;0.67;0.44;87.6;0;0.67;75;0.22;3.11
Nabil Fekir;AM;Betis;2622;0.18;0.06;0.18;4.74;1.65;80.8;1.79;2.13;69.7;3.26;5.84
Felipe;CB;Atlético Madrid;2057;0.04;0.08;0.01;0.35;0;86.6;0.13;0.13;100;0.13;2.36
Luiz Felipe;CB;Lazio;909;0.02;0.08;0.02;0.69;0.2;91.6;0.3;0.2;100;0.3;4.46
Ohis Felix Uduokhai;CB;Augsburg;2610;0.04;0.09;0.01;0.34;0.14;84.2;0.1;0.55;80;0.52;3.86
João Félix;AM;Atlético Madrid;1572;0.21;0.1;0.22;2.63;1.2;83.4;1.14;1.94;51.5;2.17;3.37
Zinedine Ferhat;W;Nîmes;2957;0.13;0.07;0.18;3.43;1.43;66.3;1.52;1.95;50;2.07;3.01
Bruno Fernandes;AM;Manchester Utd;3099;0.23;0.07;0.32;4.88;2.79;74.6;2.73;0.76;46.4;1.16;5.2
Edimilson Fernandes;CM;Mainz 05;841;0.08;0.05;0.1;1.61;0.65;72.8;1.08;0.43;66.7;1.83;3.76
Aitor Fernández;GK;Levante;2610;0;0;0;0.03;0;75.8;0;0;0;0.03;0.03
Álex Fernández;AM;Cádiz;1946;0.08;0.21;0.08;1.85;0.65;74.3;1.11;0.6;54.2;1.16;3.19
Álvaro Fernández;GK;Huesca;1980;0;0.05;0;0.14;0;74.9;0.05;0;0;0;0.14
Andrés Fernández;GK;Huesca;1440;0;0;0;0;0;68.2;0;0.19;100;0;0
Augusto Fernández;CM;Cádiz;369;0;0;0;0.24;0.24;80.7;0;0;0;1.46;7.8
Carlos Fernández;FW;Sevilla;143;0.06;0.07;0.06;3.13;0;74.4;0.63;0.63;50;1.88;0.63
Carlos Fernández;FW;Real Sociedad;390;0.26;0.16;0.14;2.56;0.7;65.5;1.16;0.7;37.5;2.79;5.81
Federico Fernández;CB;Newcastle Utd;2079;0.01;0.07;0.01;0.48;0.13;80.2;0.22;0;0;0.17;2.21
Joaquín Fernández;CB;Valladolid;2073;0.06;0.13;0.01;0.52;0.09;81.5;0.09;0.09;100;0.3;2.74
Fernandinho;CM;Manchester City;1188;0.06;0.06;0.07;2.2;1.29;87.8;0.91;0.76;66.7;0.45;5.61
Fernando;CM;Sevilla;2546;0.02;0.13;0.12;1.27;0.35;90.5;0.67;0.49;60.9;0.67;4.63
Alex Ferrari;CB;Sampdoria;880;0;0;0.04;0.61;0.1;85.2;0.31;0.1;33.3;0.31;6.94
David Ferreiro;W;Huesca;2527;0.07;0.07;0.2;3.77;1.57;65.7;2.53;1.46;65.1;1;3.81
Salvador Ferrer;FB;Spezia;1190;0;0;0;0;0;0;0;0;0;0;0
Facundo Ferreyra;FW;Celta Vigo;300;0.42;0.21;0;0.61;0;65.5;0;0.3;33.3;2.73;3.64
Jordan Ferri;CM;Montpellier;2577;0.01;0.05;0.05;1.96;0.56;85.8;0.66;0.56;59.3;1.33;7.13
Marco Festa;GK;Crotone;90;0;0;0;0;0;81.6;0;0;0;0;0
Fidel;W;Elche;2396;0.07;0.12;0.19;2.71;0.86;73.7;1.8;1.8;57.8;1.88;4.1
Sam Field;CM;West Brom;62;0;0;0;0;0;65.2;0;1.43;50;1.43;14.3
Alfreð Finnbogason;FW;Augsburg;544;0.27;0.15;0.23;3.17;0.83;63.1;1.67;0.83;62.5;1.83;5.17
Roberto Firmino;FW;Liverpool;2838;0.4;0.16;0.2;3.4;1.37;79.7;1.46;1.59;68.5;1.68;5.56
Junior Firpo;FB;Barcelona;289;0.25;0.83;0.22;2.5;0.63;89;1.56;0.94;42.9;0.31;3.75
John Fleck;CM;Sheffield Utd;2575;0.03;0.05;0.09;2.31;0.87;78.1;1.19;1.19;64.2;1.22;4.48
Mark Flekken;GK;Freiburg;270;0;0;0;0;0;73.6;0;0;0;0;0
Florian Flick;CM;Schalke 04;360;0.13;0.48;0;0.75;0.75;82.7;0;0;0;0;9
Alexis Flips;W;Reims;43;0.2;0.03;0;2;0;53.3;0;0;0;2;6
Alessandro Florenzi;FB;Paris Saint-Germain;1538;0.13;0.1;0.12;1.58;1.4;82.8;1.11;0.35;50;0.18;3.16
Kingsley Fobi;FB;Granada;45;0;0;0;0;2;66.7;0;0;0;0;0
Phil Foden;W;Manchester City;1616;0.31;0.12;0.23;3.72;1.33;82;1.89;2.39;60.6;1.61;4.89
Mamadou Fofana;CM;Metz;1070;0.03;0.11;0.01;0.42;0;84;0.17;0.25;100;0.34;4.03
Seko Fofana;CM;Lens;2309;0.12;0.08;0.09;2.33;0.7;85.8;1.01;1.56;58;1.71;4.36
Wesley Fofana;CB;Leicester City;2262;0.04;0.09;0.01;0.72;0.04;88.2;0.24;0.52;76.5;0.48;3.31
Wesley Fofana;CB;Saint-Étienne;315;0.06;0.1;0;0.86;0;80.4;0.29;0.57;66.7;0.29;3.71
Youssouf Fofana;CM;Monaco;2873;0.07;0.05;0.07;2.04;0.94;84.7;0.91;1.1;67.3;1.07;7.18
