Player;Pos;Squad;Min;Non-penalty Expected Goals;Non-penalty Expected Goals/Shot;Expected Assists;Shot-Created Actions;Completed Passes into Penalty Box;Passes Completed %;Key Passes;Successful Dribbles;Successful Dribbles %;Dispossessed;Successful Pressures
Tyler Roberts;AM;Leeds United;1340;0.14;0.08;0.12;2.48;1.48;72.2;1.01;1.14;63;1.28;4.3
Andrew Robertson;FB;Liverpool;3383;0.04;0.07;0.18;2.82;1.76;79.9;1.76;0.77;54.7;0.53;3.19
Antonee Robinson;FB;Fulham;2162;0.02;0.05;0.07;2.21;1.79;72.6;1.17;2;70.6;1;3.5
Callum Robinson;FW;West Brom;1560;0.18;0.1;0.05;2.31;0.69;70.9;0.81;1.33;62.2;1.85;3.53
Jack Robinson;FB;Sheffield Utd;877;0.04;0.08;0.09;0.62;0.1;80.6;0.1;0.31;75;0.41;2.58
Joel Robles;GK;Betis;1620;0;0;0;0.11;0;62.8;0.06;0;0;0;0
Hal Robson-Kanu;FW;West Brom;561;0.24;0.11;0.06;1.94;0.32;74.4;0.97;0.97;37.5;3.23;2.26
Marc Roca;CM;Bayern Munich;177;0.15;0.09;0;1;1.5;90.2;0.5;2.5;100;1.5;6.5
Christopher Rocchia;FB;Marseille;22;0;0;0;0;0;93.3;0;0;0;5;10
Rubén Rochina;W;Levante;1404;0.11;0.05;0.13;2.95;1.86;72.1;1.03;2.63;78.8;2.31;6.54
Marek Rodák;GK;Fulham;180;0;0;0;0;0;80.4;0;0;0;0;0
Sebastian Rode;CM;Eintracht Frankfurt;1625;0.01;0.03;0.07;2.38;1.05;83.9;1.1;0.39;77.8;0.39;6.24
Joe Rodon;CB;Tottenham;733;0;0;0;0;0;88.8;0;0;0;0;2.47
Rodri;CM;Manchester City;2748;0.06;0.06;0.06;2.39;0.56;91.5;0.89;0.95;82.9;0.72;6.46
Rodrigo;AM;Leeds United;1288;0.44;0.13;0.17;4.48;1.4;75.4;1.96;1.26;62.1;1.54;4.62
Rodrigo;AM;Betis;537;0.03;0.05;0.08;2.33;1.67;84.6;1.17;1.17;63.6;2.33;3.5
Kévin Rodrigues;FB;Eibar;1095;0.05;0.07;0.06;1.72;0.98;67.6;0.98;1.15;51.9;2.46;4.1
Óscar Rodríguez Arnaiz;AM;Sevilla;511;0.09;0.05;0.16;3.68;1.75;76;1.93;1.75;50;2.11;5.61
Ángel Rodríguez;FW;Getafe;1374;0.26;0.11;0.03;1.63;0.46;66.7;0.39;0.59;31;2.03;3.4
Guido Rodríguez;CM;Betis;2864;0.05;0.06;0.02;1.19;0.28;85.2;0.35;0.88;84.8;0.75;6.98
James Rodríguez;AM;Everton;1764;0.17;0.09;0.28;3.67;2.09;79.1;2.19;1.48;63;1.94;3.11
Jay Rodriguez;FW;Burnley;1265;0.16;0.08;0.12;1.63;0.5;73.5;0.57;1.06;48.4;1.63;4.75
