Gaël Kakuta;MFFW;Lens
Arnaud Kalimuendo;FW;Paris Saint-Germain
Arnaud Kalimuendo;FW;Lens
Samuel Kalu;FWMF;Bordeaux
Aboubakar Kamara;FWMF;Dijon
Bingourou Kamara;GK;Strasbourg
Boubacar Kamara;MF;Marseille
Hassane Kamara;DF;Nice
Wilfried Kanga;FW;Angers
Eiji Kawashima;GK;Strasbourg
Moise Kean;FW;Paris Saint-Germain
Thilo Kehrer;DF;Paris Saint-Germain
Habib Keita;MF;Lyon
Saîf-Eddine Khaoui;FWMF;Marseille
Wahbi Khazri;FW;Saint-Étienne
Presnel Kimpembe;DF;Paris Saint-Germain
Randal Kolo Muani;FW;Nantes
Timothée Kolodziejczak;DF;Saint-Étienne
Ghislain Konan;DF;Reims
Moussa Konaté;FW;Dijon
Lamine Koné;DF;Strasbourg
Moussa Koné;FW;Nîmes
Laurent Koscielny;DF;Bordeaux
Boubakar Kouyaté;DF;Metz
Jean-Philippe Krasso;FW;Saint-Étienne
Layvin Kurzawa;DF;Paris Saint-Germain
Dereck Kutesa;MFFW;Reims
Enock Kwateng;DF;Bordeaux
Gaëtan Laborde;FWMF;Montpellier
Tom Lacoux;MF;Bordeaux
Alban Lafont;GK;Nantes
Kenny Lala;DF;Strasbourg
Loïck Landre;DF;Nîmes
Julien Laporte;DF;Lorient
Gautier Larsonneur;GK;Brest
Paul Lasne;MF;Brest
Armand Lauriente;FWMF;Lorient
Wesley Lautoa;MFDF;Dijon
Jérémy Le Douaron;FWMF;Brest
Enzo Le Fée;MFFW;Lorient
Vincent Le Goff;DF;Lorient
Damien Le Tallec;MFDF;Montpellier
James Lea Siliki;MF;Rennes
Jean-Louis Leca;GK;Lens
Benjamin Lecomte;GK;Monaco
Pierre Lees-Melou;MF;Nice
Fabien Lemoine;MF;Lorient
Aaron Leya Iseka;FW;Metz
Yanis Lhery;MFFW;Saint-Étienne
Dimitri Liénard;MF;Strasbourg
Isaac Lihadji;MFDF;Lille
Pol Lirola;DF;Marseille
Anthony Lopes;GK;Lyon
Rony Lopes;FWMF;Nice
Maxime Lopez;FWMF;Marseille
Dion Lopy;MF;Reims
Jordan Lotomba;DF;Nice
Adrien Louveau;DFMF;Lens
Imran Louza;MF;Nantes
Jean Lucas;MF;Lyon
Jean Lucas;MF;Brest
Florentino Luís;MF;Monaco
Yann M'Vila;MFFW;Saint-Étienne
Yvann Macon;DF;Saint-Étienne
Hugo Magnetti;MF;Brest
Hicham Mahou;DF;Nice
Habib Maïga;MF;Metz
Mike Maignan;GK;Lille
Josh Maja;FW;Bordeaux
Radosław Majecki;GK;Monaco
Abdul Majeed Waris;FWMF;Strasbourg
Marco Majouga;FWMF;Nîmes
Adilson Malanda;MF;Nîmes
Hianga Mananga Mbock;MF;Brest
Vincent Manceau;DF;Angers
Steve Mandanda;GK;Marseille
Reinildo Mandava;DF;Lille
Thomas Mangani;MF;Angers
Vito Mannone;GK;Monaco
Myziane Maolida;FWMF;Nice
Faitout Maouassa;DF;Rennes
Sekou Mara;FW;Bordeaux
Fernando Marçal;DF;Lyon
Marcelo;DF;Lyon
Dario Maresic;DF;Reims
Jordan Marié;MF;Dijon
Guillermo Maripán;DF;Monaco
Marquinhos;DF;Paris Saint-Germain
Jonas Martin;MF;Rennes
Pablo Martinez;DF;Nîmes
Gelson Martins;MFFW;Monaco
Sylvain Marveaux;MFFW;Lorient
Pape Matar Sarr;MF;Metz
Eliot Matazo;MF;Monaco
Chrislain Matsima;DF;Monaco
Tony Mauricio;MF;Lens
Stephy Mavididi;FWMF;Montpellier
Youssef Maziz;MFFW;Metz
Kylian Mbappé;FW;Paris Saint-Germain
Nathanael Mbuku;MFFW;Reims
Facundo Medina;DF;Lens
Farid El Melali;FWMF;Angers
Birger Meling;DF;Nîmes
Houboulang Mendes;DF;Lorient
Pedro Mendes;DF;Montpellier
Thiago Mendes;MF;Lyon
Batista Mendy;MF;Nantes
Edouard Mendy;GK;Rennes
Mexer;DF;Bordeaux
Clément Michelin;DF;Lens
Edouard Michut;MF;Paris Saint-Germain
Florian Miguel;DF;Nîmes
Arkadiusz Milik;FW;Marseille
Enzo Millot;MF;Monaco
Stefan Mitrović;DF;Strasbourg
Anthony Modeste;FW;Saint-Étienne
Terem Moffi;FW;Lorient
Dion Moise Sahi;FWMF;Strasbourg
Florent Mollet;MF;Montpellier
Thomas Monconduit;MF;Lorient
Kévin Monnet-Paquet;MFFW;Saint-Étienne
Jérémy Morel;DF;Lorient
Aimen Moueffek;DFMF;Saint-Étienne
Harold Moukoudi;DF;Saint-Étienne
Jessy Moulin;GK;Saint-Étienne
Steve Mounié;FW;Brest
Samuel Moutoussamy;FW;Nantes
Loris Mouyokolo;DF;Lorient
Benoît Mukinayi;DF;Monaco
Marshall Munetsi;MFDF;Reims
Kévin N'Doram;MF;Metz
Stanley N'Soki;DF;Nice
Yuto Nagatomo;DF;Marseille
Kenny Nagera;FW;Paris Saint-Germain
Paul Nardi;GK;Lorient
Keylor Navas;GK;Paris Saint-Germain
Papa Ndiaga Yade;FWMF;Metz
Bridge Ndilu;FWMF;Nantes
Dan Ndoye;FWMF;Nice
Neymar;MFFW;Paris Saint-Germain
Yvan Neyou;MF;Saint-Étienne
Muzinga Ngonda;DF;Dijon
Ahmad Ngouyamsa;DF;Dijon
Opa Nguette;FWMF;Metz
Ibrahima Niane;FW;Metz
M'Baye Niang;FW;Rennes
Casimir Ninga;FW;Angers
Arnaud Nordin;MFFW;Saint-Étienne
Olivier Ntcham;MF;Marseille
Gerzino Nyamsi;DF;Rennes
Steven Nzonzi;MF;Rennes
Jonas Omlin;GK;Montpellier
Henry Onyekuru;FW;Monaco
Otávio;MF;Bordeaux
Remi Oudin;FWMF;Bordeaux
Alexandre Oukidja;GK;Metz
Zinédine Ould Khaled;MF;Angers
Ambroise Oyongo;DF;Montpellier
Pablo;DF;Bordeaux
Vincent Pajot;MF;Metz
Nicolas Pallois;DF;Nantes
Jonathan Panzo;DF;Dijon
Lucas Paquetá;MF;Lyon
Gaëtan Paquiez;DF;Nîmes
Rubén Pardo;MFFW;Bordeaux
Leandro Paredes;MF;Paris Saint-Germain
Mateo Pavlović;DF;Angers
Strahinja Pavlović;DF;Monaco
Dimitri Payet;FWMF;Marseille
Yohann Pelé;GK;Marseille
Pietro Pellegri;FWMF;Monaco
Andy Pelmard;DF;Nice
Timothee Pembele;DF;Paris Saint-Germain
Mathias Pereira Lage;FWMF;Angers
Danilo Pereira;MFDF;Paris Saint-Germain
Manuel Perez;MF;Lens
Romain Perraud;DF;Brest
Lucas Perrin;DF;Marseille
Rayan Philippe;FW;Dijon
Romain Philippoteaux;FW;Nîmes
Romain Philippoteaux;MFFW;Brest
Jérémy Pied;DF;Lille
Ronaël Pierre-Gabriel;DF;Brest
Maxime Poundjé;DF;Bordeaux
Sanjin Prcić;MF;Strasbourg
Nicolas de Préville;FWMF;Bordeaux
Anthony Racioppi;GK;Dijon
Nemanja Radonjić;FW;Marseille
Aleksandar Radovanović;DF;Lens
Rafinha;MF;Paris Saint-Germain
Predrag Rajković;GK;Reims
Jeff Reine-Adélaïde;MFFW;Nice
Jeff Reine-Adélaïde;FW;Lyon
Panagiotis Retsos;DF;Saint-Étienne
Baptiste Reynet;GK;Nîmes
Sergio Rico;GK;Paris Saint-Germain
Renaud Ripart;MFFW;Nîmes
Mihailo Ristić;DF;Montpellier
Maxence Rivera;MFFW;Saint-Étienne
Christopher Rocchia;DF;Marseille
Valentin Rongier;MF;Marseille
Nolan Roux;FW;Nîmes
Daniele Rugani;DF;Rennes
Kays Ruiz;FWMF;Paris Saint-Germain
Georginio Rutter;FWMF;Rennes
Roli Pereira de Sa;MFFW;Nantes
Idriss Saadi;FWMF;Strasbourg
Youssouf Sabaly;DF;Bordeaux
Mathys Saban;FW;Saint-Étienne
Hiroki Sakai;DF;Marseille
Moïse Sakava;MF;Reims
William Saliba;DF;Nice
Romain Salin;GK;Rennes
Mama Samba Baldé;FW;Dijon
Junior Sambia;DFMF;Montpellier
Frédéric Sammaritano;FWMF;Dijon
Renato Sanches;MF;Lille
Morgan Sanson;MF;Marseille
Baptiste Santamaria;MF;Angers
Pablo Sarabia;FWMF;Paris Saint-Germain
Bouna Sarr;DF;Marseille
Sidy Sarr;MF;Nîmes
Téji Savanier;MF;Montpellier
Aurélien Scheidler;FW;Dijon
Morgan Schneiderlin;MF;Nice
Malik Sellouki;FWMF;Nice
Matz Sels;GK;Strasbourg
Jean Seri;MF;Bordeaux
Mahame Siby;MFFW;Strasbourg
Abdoulaye Sidibé;MF;Saint-Étienne
Djibril Sidibé;DF;Monaco
Kaj Sierhuis;FW;Reims
Caio Henrique Oliveira Silva;DF;Monaco
Florent da Silva;FW;Lyon
Gabriel Silva;DF;Saint-Étienne
Mohamed Simakan;DF;Strasbourg
Moses Simon;FWMF;Nantes
Xavi Simons;MF;Paris Saint-Germain
Issouf Sissokho;MF;Bordeaux
Ibrahima Sissoko;MF;Strasbourg
Nelson Sissoko;DF;Saint-Étienne
Jacques Siwe;FW;Dijon
Petar Škuletić;FWMF;Montpellier
Islam Slimani;FW;Lyon
Brandon Soppy;DF;Rennes
Florian Sotoca;FW;Lens
Cheick Souaré;MF;Marseille
Rayan Souici;DF;Saint-Étienne
Adama Soumaoro;DF;Lille
Boubakary Soumaré;MF;Lille
Yaya Soumaré;FW;Lyon
Arnaud Souquet;DF;Montpellier
Ansou Sow;MF;Lens
Saidou Sow;DF;Saint-Étienne
Kevin Strootman;MF;Marseille
Abdoulaye Sylla;DF;Nantes
Issiaga Sylla;DF;Lens
Eddy Sylvestre;FWMF;Nice
Waniss Taibi;MF;Angers
Flavien Tait;MFFW;Rennes
Heriberto Tavares;MFFW;Brest
Warren Tchimbembé;MFFW;Metz
Aurélien Tchouaméni;MF;Monaco
Martin Terrier;FWMF;Rennes
Kenny Tete;DF;Lyon
Florian Thauvin;FWMF;Marseille
Sada Thioub;FWMF;Angers
Romain Thomas;DF;Angers
Adrien Thomasson;MF;Strasbourg
Khéphren Thuram-Ulie;MF;Nice
Cheikh Tidiane Sabaly;MF;Metz
Jean-Clair Todibo;DF;Nice
Karl Toko Ekambi;FW;Lyon
Tyron Tormin;MFFW;Saint-Étienne
Abdoulaye Touré;MF;Nantes
Amadou Traore;MFFW;Bordeaux
Boubacar Traoré;MF;Metz
Charles Traore;DF;Nantes
Cheick Traoré;DF;Lens
Hamari Traoré;DF;Rennes
Ismaël Traoré;DF;Angers
Miguel Trauco;DF;Saint-Étienne
Alexis Trouillet;MF;Nice
Adrien Truffert;DFMF;Rennes
Marvin Tshibuabua;DF;Saint-Étienne
Matthieu Udol;DF;Metz
Naomichi Ueda;DF;Nîmes
Chimuanya Ugochukwu;MF;Rennes
Hwang Ui-jo;FWMF;Bordeaux
Antoine Valerio;MF;Nîmes
Marco Verratti;MF;Paris Saint-Germain
Clément Vidal;DF;Montpellier
Kevin Volland;FWMF;Monaco
Franklin Wadja;MF;Lorient
Timothy Weah;FWMF;Lille
Yoane Wissa;FWMF;Lorient
Xeka;MF;Lille
Yusuf Yazıcı;FWMF;Lille
Burak Yılmaz;FW;Lille
Wilitty Younoussa;MFDF;Dijon
Zaydou Youssouf;MF;Saint-Étienne
Arthur Zagre;DFMF;Dijon
Arber Zeneli;MFFW;Reims
Mehdi Zerkane;MFFW;Bordeaux
Kévin Zohi;FWMF;Strasbourg
