Víctor Laguardia;DF;Alavés
Diego Lainez;FW;Betis
Toni Lato;DF;Valencia
Lauti;MFFW;Celta Vigo
Robin Le Normand;DF;Real Sociedad
Jeremías Ledesma;GK;Cádiz
Florian Lejeune;DF;Alavés
Iñigo Lekue;DF;Athletic Club
Thomas Lemar;MF;Atlético Madrid
Clément Lenglet;DF;Barcelona
Pedro León;MFFW;Eibar
Sergio León;FW;Levante
Diego Llorente;DF;Real Sociedad
Marcos Llorente;MFDF;Atlético Madrid
Renan Lodi;DF;Atlético Madrid
Pedro López Muñoz;DF;Huesca
Adrián López;FWMF;Osasuna
Javi López;DFMF;Alavés
Roberto López;MFFW;Real Sociedad
Unai López;MF;Athletic Club
Anthony Lozano;FWMF;Cádiz
Jeison Lucumí;FW;Elche
José Luis Gayà;DF;Valencia
José Luis Morales;FWMF;Levante
Luisinho;DF;Huesca
Luismi;MFDF;Elche
Darwin Machís;FWMF;Granada
Pablo Maffeo;DF;Huesca
Abdallahi Mahmoud;MF;Alavés
Nemanja Maksimović;MF;Getafe
Filip Malbašić;FWMF;Cádiz
Hugo Mallo;DF;Celta Vigo
Mickael Malsa;MF;Levante
Aïssa Mandi;DF;Betis
Eliaquim Mangala;DF;Valencia
Maranhão;FW;Valladolid
Marcelo;DF;Real Madrid
Iván Marcone;MF;Elche
Óscar de Marcos;DFMF;Athletic Club
José Mari;MF;Cádiz
José María Giménez;DF;Atlético Madrid
Mariano;FW;Real Madrid
Adrián Marín;DFMF;Alavés
Adrián Marín;DFFW;Granada
Roger Martí;FW;Levante
Aarón Martín;DF;Celta Vigo
Álex Martín;DF;Cádiz
Iñigo Martínez;DF;Athletic Club
Javi Martínez;MFFW;Osasuna
Marvin;DFFW;Real Madrid
Jordi Masip;GK;Valladolid
Jaime Mata;FW;Getafe
Borja Mayoral;FW;Real Madrid
Gonzalo Melero;MFFW;Levante
Brais Méndez;MFFW;Celta Vigo
Édgar Méndez;MFFW;Alavés
Eñaut Mendía;FW;Eibar
Ferland Mendy;DF;Real Madrid
Mikel Merino;MF;Real Sociedad
Martín Merquelanz;FWMF;Real Sociedad
Roque Mesa;MF;Valladolid
Lionel Messi;FWMF;Barcelona
Omenuke Mfulu;MF;Elche
Míchel;MF;Valladolid
Éder Militão;DF;Real Madrid
Luis Milla;MF;Granada
Pere Milla;FWMF;Elche
Alejandro Millán;FW;Villarreal
Santi Mina;FW;Celta Vigo
Óscar Mingueza;DF;Barcelona
Rafa Mir;FW;Huesca
Jorge Miramón;DF;Levante
Juan Miranda;DF;Betis
Luka Modrić;MF;Real Madrid
Johan Mojica;DF;Elche
Guillem Molina;DF;Valencia
Jorge Molina;FWMF;Granada
Victor Mollejo;MFDF;Getafe
Jon Moncayola;MF;Osasuna
Nacho Monreal;DF;Real Sociedad
Ángel Montoro;MF;Granada
Martín Montoya;DF;Betis
Emre Mor;FWMF;Celta Vigo
Jon Morcillo;MFFW;Athletic Club
Alberto Moreno;DF;Villarreal
Álex Moreno;DF;Betis
Gerard Moreno;FWMF;Villarreal
Tete Morente;MFFW;Elche
Loren Morón;FWMF;Betis
Pedro Mosquera;MF;Huesca
Javi Moyano;DF;Valladolid
Iker Muniain;MFFW;Athletic Club
Aihen Muñoz;DF;Real Sociedad
Joaquín Muñoz;FW;Huesca
Jeison Murillo;DF;Celta Vigo
Yunus Musah;MF;Valencia
Yoshinori Mutō;FWMF;Eibar
Nacho;DF;Valladolid
Nacho;DF;Real Madrid
Nano;FWMF;Cádiz
Roberto Navarro;MF;Real Sociedad
Ximo Navarro;DF;Alavés
Jesús Navas;DF;Sevilla
Raúl Navas;DF;Osasuna
Álvaro Negredo;FW;Cádiz
Neto;GK;Barcelona
Carlos Neva;DF;Granada
Mamor Niang;FWMF;Getafe
Nieto;FWMF;Cádiz
Saúl Ñíguez;MFDF;Atlético Madrid
Nino;FWMF;Elche
Fernando Niño;FW;Villarreal
Nolito;MFFW;Celta Vigo
Unai Núñez;DF;Athletic Club
Kelechi Nwakali;MFFW;Huesca
Allan Nyom;MFDF;Getafe
Jan Oblak;GK;Atlético Madrid
Lucas Ocampos;FW;Sevilla
Álvaro Odriozola;DF;Real Madrid
Shinji Okazaki;FW;Huesca
Lucas Olaza;DF;Valladolid
Lucas Olaza;DF;Celta Vigo
Christian Oliva;MF;Valencia
Kiko Olivas;DFMF;Valladolid
Paulo Oliveira;DF;Eibar
Mathías Olivera;DF;Getafe
Javier Ontiveros;FWMF;Huesca
Fabián Orellana;MFFW;Valladolid
Mikel Oyarzabal;FWMF;Real Sociedad
Fernando Pacheco;GK;Alavés
Jon Pacheco;DF;Real Sociedad
Helibelton Palacios;DF;Elche
Ante Palaversa;MFFW;Getafe
Daniel Parejo;MF;Villarreal
Thomas Partey;MF;Atlético Madrid
Gabriel Paulista;DF;Valencia
Alfonso Pedraza;DF;Villarreal
Pedri;MF;Barcelona
Facundo Pellistri;MFFW;Alavés
Rubén Peña;DF;Villarreal
Pepe;DF;Granada
Alberto Perea;MF;Cádiz
Iñigo Pérez;MFDF;Osasuna
Juan Pérez;GK;Osasuna
Kike Pérez;MF;Valladolid
Lucas Pérez;FW;Alavés
Luis Pérez;DF;Valladolid
