Player;Pos;Squad;Min;Expected Assists;Passes Completed %;Completed Passes into Final third;Yards Progressed From Passes;Shot-Created Dribbles;Successful Dribbles;Successful Dribbles %;Successful Pressures;Interceptions;Tackles Won;Fouls Made;Aerial Duels Won %
Benoît Costil;GK;Bordeaux;3420;0;69.8;0.34;566.9;0;0.05;100;0.03;0;0;0;0
Vladimír Coufal;FB;West Ham;3054;0.14;70.9;2.42;299;0.03;0.53;66.7;3.72;1.15;1.21;0.86;54.3
Kalifa Coulibaly;FW;Nantes;981;0.05;62.4;1.38;46.5;0;0.28;30;1.74;0.28;0.55;1.19;47.6
Lassana Coulibaly;CM;Angers;1687;0.07;85;2.78;131.2;0.05;1.12;55.3;8.4;1.93;2.99;1.44;45.5
Mamadou Coulibaly;CM;Udinese;184;0.05;76.8;5;161;0;0.5;100;3;0.5;3.5;1.5;0
Senou Coulibaly;CB;Dijon;1934;0;83;2.05;300.7;0;0.37;88.9;2.98;1.86;1.02;0.79;47.6
Tanguy Coulibaly;W;Stuttgart;1506;0.11;74;0.6;81.7;0.48;3.41;64;5.63;0.42;1.2;1.98;26.5
Thibaut Courtois;GK;Real Madrid;3420;0;82.3;0.32;389.9;0;0;0;0.03;0;0;0.03;0
Philippe Coutinho;AM;Barcelona;654;0.12;86.8;5.48;202.2;0.14;1.51;61.1;2.74;0.55;0.82;1.23;25
Nicolas Cozza;CB;Montpellier;1369;0.03;79.8;2.43;281;0;0.79;66.7;3.29;1.38;1.18;0.99;39.5
Alessio Cragno;GK;Cagliari;3060;0.01;69;0.12;418.2;0;0;0;0.03;0;0;0.09;0
Gian Crespi;GK;Crotone;90;0;85.7;0;633;0;0;0;0;0;0;0;0
Aaron Cresswell;FB;West Ham;3170;0.17;74.8;4.23;419.4;0.03;0.17;40;1.9;1.02;0.37;0.37;55.9
Domenico Criscito;FB;Genoa;1726;0.02;81.5;3.91;349.5;0;0.21;44.4;3.7;1.82;1.41;1.2;44
Bryan Cristante;CM;Roma;2155;0.04;83.5;5.15;382.7;0.08;0.71;81;4.52;1.42;1.3;1.3;57.8
Giovanni Crociata;CM;Crotone;26;0.67;68.8;6.67;243.3;0;13.3;80;3.33;0;3.33;6.67;0
Juan Cruz Armada;FB;Osasuna;1962;0.02;69.7;2.06;274;0;0.41;75;2.98;0.46;0.78;0.6;50.8
Juan Cuadrado;FB;Juventus;2175;0.3;82.9;3.14;364.9;0.5;2.31;72.7;3.47;1.28;0.87;1.36;36.1
Adrián Cubas;CM;Nîmes;2242;0.02;82.7;2.17;187.4;0.04;0.52;61.9;9.32;2.29;2.49;1.41;20
Sergio Cubero Ezcurra;FB;Eibar;1;0;0;0;0;0;0;0;1;0;0;0;0
Cucho;FW;Getafe;1466;0.07;66.8;1.35;88.3;0.12;1.29;65.6;4.66;0.31;0.61;2.09;35.4
Marc Cucurella;W;Getafe;3244;0.08;70.8;1.81;140.7;0.06;0.69;49;6.56;1.5;1.33;1.92;41.6
Mickaël Cuisance;CM;Marseille;1024;0;90;5;15;0;1.23;40;6.84;0.61;1.49;0;0
Mickaël Cuisance;CM;Bayern Munich;18;0.06;85.8;3.68;131.7;0.09;0;0;5;0;0;2.98;25
Matheus Cunha;FW;Hertha BSC;2149;0.2;65.9;2.72;150.2;0.59;3.26;60.9;5.69;1.46;1.26;1.92;34.9
Giuseppe Cuomo;CB;Crotone;801;0;82.4;2.36;331.3;0;0.45;30.8;5.84;1.69;1.57;1.69;72.7
Patrick Cutrone;FW;Wolves;25;0;78.6;0;27.3;0;0;0;6.67;0;0;3.64;30.8
Patrick Cutrone;FW;Fiorentina;196;0;80;0;6.67;0;0;0;5;0;0.91;0;33.3
Patrick Cutrone;FW;Valencia;108;0.17;75;0.83;36.7;0;1.67;100;5;0.83;0;1.67;0
Wylan Cyprien;CM;Parma;410;0.04;84.1;3.91;204.8;0;0.22;50;3.91;0.65;1.3;1.3;66.7
Rafael Czichos;CB;Köln;2259;0;85.1;3.43;423.1;0.04;0.2;62.5;4.3;1.51;1.47;1.04;59.5
Lennart-Marten Czyborra;W;Genoa;1173;0.02;74.6;1.54;190.6;0;0.77;50;3;0.92;0.54;0.85;34.4
Danilo D'Ambrosio;FB;Inter;699;0.01;90.1;3.85;322.7;0;0.13;50;4.36;0.77;1.41;1.41;66.7
Damien Da Silva;CB;Rennes;2661;0.02;89.2;4.9;425.5;0;0.37;100;2.26;1.35;0.61;1.01;75.7
Bryan Dabo;CM;Benevento;1117;0.02;78.1;3.87;181.4;0;1.13;58.3;4.19;1.13;0.65;1.45;71.6
Moanes Dabour;FW;Hoffenheim;999;0.09;73.3;2.07;110.7;0.27;2.34;59.1;5.41;0.54;0.72;1.71;48.9
Colin Dagba;FB;Paris Saint-Germain;1357;0.07;88.9;2.52;214.6;0.13;0.66;58.8;4.37;0.79;0.86;1.32;22.2
Finn Dahmen;GK;Mainz 05;270;0;77.9;0;184.7;0;0;0;0;0;0;0;0
Mahmoud Dahoud;CM;Dortmund;1258;0.09;86.1;4.71;232.6;0.21;1.79;80.6;5.86;1.5;1.71;1.93;53.8
Leon Dajaku;AM;Union Berlin;37;0;84.6;2.5;105;0;2.5;50;2.5;0;2.5;0;50
Stuart Dallas;FB;Leeds United;3409;0.06;82;3.72;262.5;0.11;0.58;59.5;5.01;1.56;1.37;1.08;52.6
Diogo Dalot;FB;Milan;1090;0.1;75.8;3.06;295.5;0.17;0.74;69.2;3.14;1.49;1.4;2.07;71
Mikkel Damsgaard;W;Sampdoria;1773;0.14;70.8;2.34;142.3;0.2;2.59;59.3;7.51;1.42;1.42;1.32;40
Flavius Daniliuc;CB;Nice;1477;0.02;88.2;5.55;413.2;0.06;0.18;100;2.99;1.16;0.73;0.73;46.7
Danilo;CB;Juventus;2916;0.11;88.3;7.07;422;0.03;0.62;90.9;2.47;1.36;1.14;0.77;65.4
Scott Dann;CB;Crystal Palace;1350;0;84.1;1.6;317.2;0;0.33;100;1.13;0.53;0.47;0.47;59
Tiago Dantas;CM;Bayern Munich;69;0;80;1.25;163.8;0;0;0;2.5;1.25;0;0;0
Dante;CB;Nice;774;0.02;90.6;3.26;550.1;0;0;0;2.33;0.23;0.81;0.7;73.3
Andrea Danzi;CM;Hellas Verona;104;0.08;64.1;0.83;133.3;0;0;0;1.67;0.83;0;0.83;100
Ebrima Darboe;CM;Roma;323;0;95.4;7.22;355.3;0;0.83;75;5.83;3.61;1.11;0.83;33.3
Márton Dárdai;CB;Hertha BSC;821;0.02;80.2;4.18;412.9;0;0;0;2.75;1.65;1.21;1.1;46.2
Vladimír Darida;CM;Hertha BSC;1903;0.27;72.5;2.75;180.7;0.14;0.9;61.3;6.16;1.47;1.14;1.28;39.6
Karl Darlow;GK;Newcastle Utd;2250;0;50.1;0.32;457.1;0;0;0;0;0.04;0;0;0
Matteo Darmian;FB;Inter;1160;0.12;81;1.4;198.9;0.08;0.16;20;3.49;1.24;1.01;1.63;62.1
Matteo Darmian;FB;Parma;208;0;78;1.74;197;0;0.43;50;4.78;1.3;1.3;1.3;50
Jonathan David;FW;Lille;2354;0.12;77.8;1.11;40.2;0.27;0.99;50;5.69;0.57;0.5;1.34;24.2
Alphonso Davies;FB;Bayern Munich;1763;0.04;89;4.85;331.7;0.15;3.01;71.1;5;2.35;1.94;0.71;47.5
Ben Davies;FB;Tottenham;1346;0.04;77.9;2.8;280.9;0.07;0.33;55.6;2.8;0.87;0.87;1.27;63
Tom Davies;CM;Everton;1423;0.06;83.8;2.72;169.9;0.06;1.01;72.7;5.76;2.15;1.77;1.77;36
Keinan Davis;FW;Aston Villa;277;0.16;73.4;0.32;45.5;0.97;2.26;63.6;5.16;0;0.97;1.29;50
Leif Davis;FB;Leeds United;33;0;84.2;0;397.5;0;2.5;100;0;5;0;2.5;0
Paweł Dawidowicz;CB;Hellas Verona;1860;0;85.6;1.5;212.9;0.05;0.24;83.3;4.2;1.26;1.45;1.84;56.8
Craig Dawson;CB;West Ham;1925;0;82.5;1.92;184.3;0;0;0;2.1;1.82;0.51;0.65;69.9
Kevin De Bruyne;AM;Manchester City;1997;0.46;76;5.77;278.5;0.32;1.8;58;5.45;0.72;1.4;1.22;36.4
Sebastien De Maio;CB;Udinese;853;0;86.1;0.63;190.6;0;0.21;100;4.21;1.37;1.37;1.16;55.8
Rodrigo De Paul;CM;Udinese;3201;0.28;73.2;5.11;324.4;0.37;3.15;67.1;3.79;0.53;0.81;0.98;35
Mattia De Sciglio;FB;Juventus;24;0.09;84.2;4.05;345.2;0;0;0;3.33;0;0;1.35;60.6
Mattia De Sciglio;FB;Lyon;1467;0;75;0;50;0;0.49;57.1;3.74;2.21;1.41;3.33;0
Lorenzo De Silvestri;FB;Bologna;2143;0.04;75.9;3.61;345.9;0;0.17;57.1;3.36;1.13;0.71;1.76;59.3
Thibault De Smet;FB;Reims;496;0.07;79.4;2.91;309.1;0.36;0.55;75;5.82;0.91;1.45;2;45.8
Lucas Deaux;CM;Nîmes;1754;0.05;79.6;2.82;245.7;0.1;1.03;62.5;7.38;0.72;1.95;1.79;54.4
Mathieu Debuchy;FB;Saint-Étienne;2103;0.07;74.4;2.56;333.1;0;0.73;53.1;3.76;2.01;1.58;1.71;73.1
Grégoire Defrel;FW;Sassuolo;1337;0.09;87.6;1.68;60.1;0.07;0.87;54.2;4.36;0.54;0.81;1.01;22.9
Alessandro Deiola;CM;Spezia;360;0.1;77;2.25;141.3;0;0.25;50;5;0.5;1.5;1.5;33.3
Alessandro Deiola;CM;Cagliari;615;0.06;84.2;2.35;139.4;0;0.29;100;3.97;2.21;1.03;1.76;81.8
Romain Del Castillo;W;Rennes;652;0.31;71.4;2.08;187.4;0.83;2.5;54.5;9.31;0.56;3.19;1.94;35
Lorenzo Del Pinto;CM;Benevento;11;0;57.1;0;150;0;0;0;0;0;0;0;0
Thomas Delaine;FB;Metz;1779;0.04;74.9;1.36;186.8;0.2;1.26;49;2.07;0.81;0.91;1.11;41.7
Thomas Delaney;CM;Dortmund;1286;0.01;83.8;3.71;207.1;0;0.28;33.3;6.99;1.68;2.59;2.52;68.2
Liam Delap;FW;Manchester City;40;0;71.4;0;0;0;0;0;2.5;0;0;2.5;50
Jonathan Delaplace;CM;Lorient;906;0.16;76.3;2.18;257.2;0;0.3;50;4.16;1.98;1.19;1.58;35.3
Sacha Delaye;CM;Montpellier;7;0;100;0;350;0;0;0;0;10;0;0;0
Cristian Dell'Orco;FB;Spezia;262;0;76.9;1.72;216.2;0;0;0;2.41;1.38;0.34;0.69;55.6
Andy Delort;FW;Montpellier;2482;0.21;62.2;1.49;98.3;0.33;1.38;54.3;2.43;0.14;0.54;1.92;53.8
Fabian Delph;CM;Everton;266;0.03;88;5;312.3;0;2.67;66.7;2;1.33;0.67;1;0
Moussa Dembélé;FW;Atlético Madrid;100;0.09;71.2;0.8;40.4;0.27;0.91;25;4.55;0;0;2.27;38.1
Moussa Dembélé;FW;Lyon;677;0;60.6;0;20.9;0;1.47;55;3.2;0.27;0.4;2.73;50
Ousmane Dembélé;W;Barcelona;1774;0.25;82.5;2.03;147.5;0.51;3.76;61.7;3.3;0.71;0.51;0.76;40
Merih Demiral;CB;Juventus;940;0.01;93.1;1.83;326.4;0;0.29;100;2.98;1.15;1.06;1.06;75.8
Kerem Demirbay;CM;Leverkusen;1744;0.13;78.8;5.88;296.1;0.26;1.29;59.5;8.3;0.67;1.8;2.27;38.5
Ermedin Demirović;FW;Freiburg;1498;0.19;58.1;1.02;50.5;0.18;0.84;56;5.78;0.3;0.78;2.65;31.9
Diego Demme;CM;Napoli;1590;0.09;89.4;6.38;240.7;0.06;0.23;57.1;7.06;0.96;2.09;1.86;30.4
Jason Denayer;CB;Lyon;2614;0;95.8;2.41;343.5;0;0.24;100;2.55;0.76;0.72;0.72;52.3
Leander Dendoncker;CM;Wolves;2503;0.03;87.9;2.3;154.6;0.04;0.4;68.8;5.36;0.97;1.04;1.08;61.9
Kevin Denkey;FW;Nîmes;524;0.1;71.7;0.86;32.6;0;0.86;41.7;2.93;0.34;0.52;3.62;27.3
Emmanuel Dennis;FW;Köln;474;0.23;70.5;0.75;38.5;0.19;2.64;58.3;5.47;0.57;1.32;2.83;33.3
Stefano Denswil;CB;Bologna;115;0;81;5.38;381.5;0;0.77;100;5.38;0.77;1.54;0;75
Fabio Depaoli;FB;Benevento;1120;0.03;73.5;1.69;247.9;0;0.32;40;5.48;1.29;1.21;1.37;62.5
Fabio Depaoli;FB;Sampdoria;77;0.11;60;1.11;80;0;0;0;4.44;0;0;5.56;0
Fabio Depaoli;FB;Atalanta;191;0.05;83.5;2.38;260;0;0.48;100;4.29;0.48;0.48;2.38;60
Memphis Depay;FW;Lyon;2923;0.42;70.5;2.58;160.3;0.65;2.71;62;2.28;0.28;0.18;0.98;33.3
Clément Depres;FW;Nîmes;14;0;50;5;85;0;0;0;0;0;0;0;0
Mike van der Hoorn;CB;Arminia;1356;0.01;87.1;1.66;316.2;0;0.07;50;2.12;0.53;0.46;0.73;60.4
Kastriot Dermaku;CB;Parma;100;0;89.7;0.91;145.5;0;0;0;2.73;0.91;0;1.82;0
Kiril Despodov;W;Cagliari;11;0;0;0;0;0;0;0;20;0;0;10;0
Sergiño Dest;FB;Barcelona;1886;0.12;89.4;2.19;199.9;0.1;1.57;55.9;4.43;0.81;0.9;0.76;31.3
Mattia Destro;FW;Genoa;1606;0.03;70.3;0.67;27.1;0.17;1.24;48.9;3.65;0.11;0.39;2.19;29.4
Gerard Deulofeu;W;Udinese;598;0.17;68.4;1.36;98;0.15;1.52;47.6;4.55;0.45;0.3;1.06;0
Deyverson;FW;Alavés;874;0.16;50;2.47;108.5;0;0.62;40;5.15;1.03;0.62;1.65;57
Jacopo Dezi;CM;Parma;79;0.22;74.4;1.11;76.7;0;1.11;50;3.33;1.11;1.11;1.11;0
Samuel Di Carmine;FW;Hellas Verona;500;0.02;61.8;0.71;19.6;0;0.18;100;2.86;0;0;2.86;51.7
Samuel Di Carmine;FW;Crotone;475;0;77.5;0.57;22.5;0;0;0;1.51;0.19;0.38;0.94;42.9
Giovanni Di Lorenzo;FB;Napoli;3240;0.13;87.2;6.31;421.9;0.19;0.78;50;3.89;1.08;1.58;1.39;56.9
Ángel Di María;W;Paris Saint-Germain;1853;0.51;73;4.32;269.2;0.39;2.23;51.7;4.47;0.34;1.07;0.58;0
Alessandro Di Pardo;W;Juventus;14;0;55.6;5;250;5;10;100;5;0;0;0;0
Giuseppe Di Serio;FW;Benevento;292;0;69.7;0.31;69.4;0;1.25;100;3.13;0.31;0.63;4.06;47.8
Boulaye Dia;FW;Reims;2930;0.06;80.5;0.67;36.1;0.34;1.47;61.5;3.19;0.49;0.52;0.95;23.7
Abdoulay Diaby;W;Getafe;18;0.5;50;0;55;0;0;0;0;0;5;5;0
Moussa Diaby;W;Leverkusen;2388;0.26;76.1;0.98;90.2;0.53;2.15;46.7;2.75;0.72;0.26;1.02;21.7
Mbaye Diagne;FW;West Brom;1189;0.13;70.4;0.98;34.5;0.08;0.98;81.3;3.03;0.15;0.3;1.29;32.4
Mouctar Diakhaby;CB;Valencia;2079;0;86;1.9;251.6;0;0.13;60;2.34;0.43;0.65;0.95;75.8
Abdou Diallo;CB;Paris Saint-Germain;1490;0.03;93.1;4.34;447.8;0;1.2;57.1;2.47;1.02;0.9;1.02;61.5
Amad Diallo;W;Manchester Utd;166;0.28;84.4;2.78;121.7;0;1.67;33.3;7.78;1.67;1.67;1.11;33.3
Amad Diallo;W;Atalanta;14;0.5;90;10;275;10;10;100;0;0;0;5;0
Habib Diallo;FW;Strasbourg;2322;0.12;69.9;0.89;57.9;0.12;0.62;44.4;2.79;0.5;0.39;0.93;43.5
Habib Diallo;FW;Metz;143;0.19;58.3;1.88;66.3;0;0;0;3.75;0;0;1.25;40
Ibrahima Diallo;CM;Southampton;1020;0.04;85.2;3.19;174.5;0;0.97;64.7;7.26;1.42;2.21;1.95;29.6
Ibrahima Diallo;CM;Brest;440;0.08;86.9;4.08;216.9;0.2;1.43;77.8;4.9;0.61;1.63;1.63;40
Amadou Diambo;CM;Benevento;3;0;87.5;1;16;0;2;66.7;0;0;0;0;0
Grady Diangana;W;West Brom;1235;0.01;72.9;1.09;65.2;0.07;1.75;48;4.89;1.02;1.39;0.8;28.8
Stéphane Diarra;W;Lorient;197;0.14;70.6;1.36;154.5;0.91;1.82;30.8;4.55;0;0.45;1.82;50
Raphael Dias Belloli;W;Leeds United;2360;0.31;66.7;3.09;205.9;0.38;2.33;51.7;3.74;1.18;0.73;0.5;24
Raphael Dias Belloli;W;Rennes;404;0.22;64.7;2;144;0.89;2.89;46.4;2.44;0.89;0.44;1.33;25
Rúben Dias;CB;Manchester City;2843;0;93.6;5.25;462.2;0;0.09;50;2.12;0.7;0.66;0.66;68.2
Krepin Diatta;W;Monaco;389;0.02;73.3;1.4;82.8;0;2.09;69.2;4.65;0.23;0.47;0.7;46.7
Amadou Diawara;CM;Roma;658;0.08;89.2;4.79;232.7;0;0.41;60;5.75;1.23;1.64;2.33;50
Brahim Díaz;AM;Milan;1228;0.12;86.8;2.21;94.8;0.37;2.43;63.5;5.59;0.44;1.47;1.03;16.7
Víctor Díaz;FB;Granada;828;0.03;68.8;2.39;295.3;0;0.11;20;3.26;1.63;1.74;1.09;55.2
Daniel Didavi;AM;Stuttgart;970;0.28;74.1;3.8;180.6;0;0.93;76.9;5.09;0.56;0.65;1.48;45
Eric Dier;CB;Tottenham;2520;0;84.6;2.57;381.7;0;0.11;60;1.71;0.82;0.54;0.57;65.2
Daan Dierckx;CB;Parma;471;0;87.9;1.15;222.1;0;0;0;3.27;2.31;0.96;0.96;21.4
Lucas Digne;FB;Everton;2681;0.18;72.5;2.11;298.6;0;0.47;60.9;3.59;0.87;1.34;1.17;70.7
Virgil van Dijk;CB;Liverpool;370;0;90;6.34;514.4;0;0;0;0.73;0;0.24;0.98;69.6
Mitchell Dijks;FB;Bologna;1481;0.01;76.8;3.21;297.7;0;1.76;46;4.48;1.21;1.03;2;41.4
Javairô Dilrosun;W;Hertha BSC;529;0.07;74.9;1.86;94.1;0.51;2.03;48;5.76;1.02;0.85;1.36;12.5
Federico Dimarco;FB;Hellas Verona;2613;0.23;71.1;4.31;371.8;0.1;0.48;58.3;3.03;1.45;0.86;1.1;30.2
Tristan Dingomé;CM;Reims;15;0;73.3;5;40;0;0;0;0;0;0;5;0
Eren Dinkçi;FW;Werder Bremen;108;0.08;74.1;1.67;106.7;0;0.83;33.3;1.67;2.5;0;0.83;50
Sinaly Diomande;CB;Lyon;1133;0.02;89;2.94;368.9;0;0.48;75;2.7;1.83;0.63;1.27;77.3
Lois Diony;FW;Angers;1749;0.07;63.3;0.52;32.4;0.1;0.72;28;4.18;0.15;0.62;1.19;35
Issa Diop;CB;West Ham;1381;0;84.4;1.83;189.5;0;0.33;100;2.68;0.92;1.24;0.52;60
Papakouli Diop;CM;Eibar;2324;0.04;70.5;3.57;126.9;0.04;0.31;61.5;4.42;1.59;1.4;1.63;55.5
Sofiane Diop;AM;Monaco;2023;0.1;78.8;2.84;142.6;0.09;1.69;62.3;6.27;0.71;1.82;1.47;44
Andy Diouf;W;Rennes;12;0;50;10;60;0;0;0;0;0;0;20;100
Yehvann Diouf;GK;Reims;135;0;76.9;0.67;437.3;0;0.67;100;0;0;0;0;0
Assane Dioussé;CM;Saint-Étienne;1;0;100;0;5;0;0;0;0;0;0;0;0
Axel Disasi;CB;Monaco;2011;0.02;86.7;4.13;362.5;0;0.36;100;3.36;1.21;1.03;1.26;64.7
Tiago Djaló;CB;Lille;873;0.02;87.7;5.05;385.3;0;0.82;57.1;3.92;1.13;1.75;1.55;61.1
Djené;CB;Getafe;2941;0;76.7;1.68;158.9;0.03;0.28;69.2;3.12;1.65;1.13;1.07;61.7
Moussa Djenepo;W;Southampton;1240;0.04;73.8;1.23;91.5;0.72;2.54;53.8;6.88;0.8;1.59;2.1;25
Koffi Djidji;CB;Crotone;1524;0.01;81.7;2.66;289.5;0;0.47;61.5;4.56;1.66;1.3;1.3;58.6
Alexander Djiku;CB;Strasbourg;2552;0.02;86.6;2.39;306.4;0;0.25;87.5;3.59;2.82;1.55;1.8;69.5
Berat Djimsiti;CB;Atalanta;2625;0.08;88.1;4.66;319.1;0.03;0.24;70;4.18;1.64;0.89;1.06;72.2
Marko Dmitrović;GK;Eibar;3120;0.01;54;1.96;617.2;0;0.03;100;0;0;0.03;0.03;0
Ritsu Doan;W;Arminia;2768;0.11;63.4;1.4;123.1;0.58;2.21;52.3;6.56;0.84;1.43;1.01;34.8
Mihai Dobre;W;Dijon;529;0.05;75;1.69;68.8;0.34;2.54;65.2;4.75;1.53;1.36;0.85;58.3
Matt Doherty;FB;Tottenham;1240;0.06;80.6;1.67;307.2;0.07;0.51;43.8;2.75;1.3;0.58;1.45;70.1
Jeremy Doku;W;Rennes;2313;0.14;81.4;1.32;121.4;0.39;3.46;58.2;5.29;0.47;1.48;1.4;34.8
Kasper Dolberg;FW;Nice;1928;0.05;79;0.7;17.7;0.09;0.65;48.3;3.22;0.19;0.28;0.93;43.4
Keagan Dolly;W;Montpellier;452;0.04;84.3;2.2;107.6;0.2;0.8;44.4;3;0.8;1.6;1;12.5
Jaume Doménech;GK;Valencia;2520;0;69.5;0.21;567.8;0;0.04;100;0.04;0;0;0;0
Carlos Dominguez;CB;Celta Vigo;360;0.03;83.1;1;227;0;0;0;2.25;1.75;1;1.75;43.5
Nicolás Domínguez;CM;Bologna;1255;0.17;86.1;5.18;241.5;0.14;0.65;90;6.62;1.8;2.52;1.65;50
John Donald;CM;Elche;50;0;95;0;243.3;0;0;0;3.33;0;0;1.67;0
Ji Dong-won;FW;Mainz 05;62;0;55.6;4.29;111.4;0;0;0;5.71;0;0;4.29;55.6
Anastasios Donis;FW;Reims;97;0;65;0;32.7;0;0.91;50;1.82;0;0;2.73;100
Gianluigi Donnarumma;GK;Milan;3330;0;78.5;0.19;416.6;0;0.05;100;0;0;0;0.03;0
Gabriel Dos Santos;CB;Arsenal;1996;0;86;3.69;352.3;0.05;0.18;44.4;2.48;1.04;0.77;1.08;60.5
Bas Dost;FW;Eintracht Frankfurt;817;0.25;65.1;2.64;77;0;0.11;100;3.41;0.22;0.44;1.76;68.6
Lucas Douath;CM;Saint-Étienne;1327;0.01;86.6;2.24;129.5;0.14;0.88;54.2;5.85;1.5;1.9;2.24;58.3
Abdoulaye Doucouré;CM;Everton;2443;0.08;86;2.55;151;0.04;0.63;60.7;5.83;1.29;1.55;0.85;58.1
Cheick Doucouré;CM;Lens;2627;0.06;87;5.27;186.1;0.24;1.06;75.6;5.82;1.88;2.02;1.58;58.5
Fodé Doucouré;FB;Reims;333;0.14;77.2;2.97;285.4;0;0.81;75;2.43;1.08;0.27;1.08;33.3
Mahamadou Doucouré;W;Nîmes;45;0;76.9;2;42;0;0;0;6;2;0;0;50
Cheick Doukouré;CM;Levante;101;0.09;86.7;2.73;91.8;0;0.91;50;7.27;1.82;3.64;6.36;50
Idrissa Doumbia;CM;Huesca;779;0;91.5;2.41;142.1;0;1.61;77.8;4.48;1.03;1.15;1.38;28.6
Moussa Doumbia;W;Reims;899;0.12;81.1;2.1;115;0.1;2.4;55.8;2.8;1.6;0.3;0.8;10
Souleyman Doumbia;FB;Angers;2222;0.11;81.7;1.74;244;0;1.34;67.3;3.44;1.62;1.38;1.3;58
Aleksandar Dragović;CB;Leverkusen;1136;0.03;89;6.43;504.6;0;0.4;100;3.89;1.19;0.79;0.95;64.3
Bartłomiej Drągowski;GK;Fiorentina;3148;0;65.5;0.57;436.3;0;0;0;0.06;0;0;0.03;0
Denis Drăguș;FW;Crotone;177;0;74.6;2;104;0;3;75;6.5;0.5;1.5;2;25
Radu Drăgușin;CB;Juventus;1;0;100;0;19;0;0;0;0;0;0;2;0
Mouhamadou Drammeh;CM;Reims;173;0;81.1;2.11;94.7;0;2.63;83.3;4.21;1.05;0.53;0.53;25
Julian Draxler;AM;Paris Saint-Germain;1064;0.24;86.4;2.97;166.7;0.08;1.78;63.6;2.63;1.36;0.59;0.68;66.7
Dominick Drexler;AM;Köln;1233;0.12;76.7;1.46;116;0.07;0.73;52.6;6.06;1.31;1.68;1.46;41.7
Matthieu Dreyer;GK;Lorient;1350;0;62.3;0.13;342.7;0;0;0;0;0;0;0;0
Domingos Duarte;CB;Granada;2363;0.04;80.3;2.13;237.9;0;0.15;80;1.79;1.18;0.72;0.84;61.8
Léo Duarte;CB;Milan;19;0;100;0;230;0;0;0;15;0;5;0;0
Óscar Duarte;CB;Levante;2060;0.01;87.4;2.1;317.7;0;0.13;75;2.62;1.09;0.61;1.48;63
Rubén Duarte;FB;Alavés;2545;0.08;70.8;2.51;341.4;0;0.18;45.5;4.06;1.48;1.2;1.48;67
Leo Dubois;FB;Lyon;2903;0.18;79.4;4.12;415.2;0.09;1.08;62.5;3.78;0.93;1.05;0.65;61
Martin Dúbravka;GK;Newcastle Utd;1170;0;72.6;0.15;412.5;0;0;0;0.15;0;0;0;0
Ondrej Duda;AM;Köln;2537;0.15;71.8;3.37;163.7;0.25;1.99;71.8;4.47;0.67;1.03;1.91;34.5
Unai Dufur;CB;Eibar;62;0;79.1;2.86;447.1;0;0;0;7.14;0;2.86;1.43;50
Haris Duljević;W;Nîmes;773;0.15;77.8;2.91;149.1;0.12;3.72;69.6;3.95;1.51;1.63;1.16;16.1
Paul Dummett;FB;Newcastle Utd;1255;0.04;76.8;2.23;276.7;0;0.14;66.7;2.01;1.29;0.79;0.65;55.7
Alfred Duncan;CM;Fiorentina;162;0;76.5;5;190.6;0;2.78;100;2.78;1.67;0.56;1.11;28.6
Alfred Duncan;CM;Cagliari;1068;0.09;81.2;5.38;222.4;0;1.09;68.4;4.62;1.34;1.26;1.34;46.2
Lewis Dunk;CB;Brighton;2931;0.03;90;3.56;381.5;0;0.15;83.3;2.15;0.89;0.58;0.64;63.3
Jimmy Dunne;CB;Burnley;270;0.03;71.2;0.33;190;0;0.33;50;3.67;1;0.67;0.67;76.7
Erik Durm;FB;Eintracht Frankfurt;1480;0.13;70.2;1.59;240.8;0.12;0.67;57.9;4.82;1.4;0.98;0.55;48.9
Hugo Duro;FW;Real Madrid;55;0.17;100;0;8.33;0;0;0;0;0;0;1.67;16.7
Jean-Kevin Duverne;CB;Brest;2029;0.03;84.6;4.53;406.7;0.04;0.76;85;3.47;0.8;1.07;0.98;51.1
Paulo Dybala;AM;Juventus;1132;0.23;82;3.41;176.6;0.4;2.14;62.8;4.52;0.24;0.87;0.79;8.3
Edin Džeko;FW;Roma;1824;0.12;66.9;1.03;60.1;0.25;1.23;48.1;2.71;0.2;0.34;1.28;63
Eric Junior Dina Ebimbe;W;Dijon;2144;0.08;79;2.02;97.8;0.42;2.56;60.4;4.03;0.71;1.34;1.85;34.1
Steeve-Mike Ebongue;CM;Genoa;52;0.83;81.5;3.33;131.7;0;0;0;11.7;1.67;1.67;0;0
Enzo Ebosse;FB;Angers;260;0.21;83;0.69;287.6;0;0;0;4.83;0.34;1.03;1.03;33.3
Bruno Ecuele Manga;CB;Dijon;3420;0;86.3;1.53;362.1;0.03;0.26;83.3;2.29;2.16;1.18;0.5;69.7
Simone Edera;W;Torino;52;0.33;72.7;0;115;0;3.33;100;5;0;0;1.67;0
Ederson;GK;Manchester City;3240;0.01;83.1;0.19;385;0;0;0;0.03;0;0;0.03;0
Kyle Edwards;W;West Brom;118;0;85.7;2.31;70;0;0.77;25;1.54;0.77;0;0.77;0
John Egan;CB;Sheffield Utd;2629;0.01;84.6;2.77;229.5;0;0.07;100;2.81;1.4;1.03;0.99;60.8
Johannes Eggestein;FW;Werder Bremen;33;0;64.7;2.5;65;0;0;0;12.5;0;0;2.5;100
