Player;Pos;Squad;Min;Expected Assists;Passes Completed %;Completed Passes into Final third;Yards Progressed From Passes;Shot-Created Dribbles;Successful Dribbles;Successful Dribbles %;Successful Pressures;Interceptions;Tackles Won;Fouls Made;Aerial Duels Won %
Semi Ajayi;CB;West Brom;2780;0.01;74.4;2.17;213.3;0.06;0.39;66.7;4.27;1.33;1.36;0.91;64.9
Ludovic Ajorque;FW;Strasbourg;2967;0.11;71.1;1.45;60.2;0.03;0.42;51.9;2.91;0.36;0.48;1.18;54.7
Manuel Akanji;CB;Dortmund;2350;0;92.9;5.75;486.4;0;0.5;86.7;3.79;1.46;1.15;0.84;57.8
Carlos Akapo;FB;Cádiz;865;0.03;66.8;1.04;192.5;0.1;1.04;83.3;3.23;1.35;1.35;1.04;73.9
Marley Aké;W;Marseille;146;0;80;1.25;76.9;0;2.5;57.1;1.25;0.63;0;3.75;40
Nathan Aké;CB;Manchester City;797;0;93;6.74;397.1;0;0;0;2.81;0.67;0.67;0.9;63.8
Paul Akouokou;CM;Betis;378;0.1;91.8;3.33;140.5;0;0.71;75;4.76;1.43;1.9;2.62;50
Jean-Daniel Akpa-Akpro;CM;Lazio;1056;0.08;81.4;1.45;81.5;0.09;1.71;74.1;9.32;1.62;2.39;2.65;50
Kevin Akpoguma;CB;Hoffenheim;1184;0.03;82.2;2.5;321;0;0.53;63.6;4.85;0.76;0.91;1.14;52.3
David Alaba;CB;Bayern Munich;2675;0.08;85.1;7.81;428.1;0;0.47;87.5;4.41;1.21;1.01;0.64;48
Sofiane Alakouch;FB;Nîmes;1505;0.07;79.6;3.71;303.7;0.06;1.32;64.7;5.21;2.04;1.92;1.5;40
Jony Álamo;CM;Elche;73;0;87.5;1.25;51.3;0;1.25;100;5;0;1.25;0;0
Lucas Alario;FW;Leverkusen;1245;0.05;76.1;0.87;24.1;0.14;1.45;76.9;3.62;0.22;0.43;1.3;30.9
Jordi Alba;FB;Barcelona;3025;0.22;85.5;3.72;371.8;0.03;0.51;45.9;2.89;1.28;0.71;0.63;33.3
Luis Alberto;CM;Lazio;2618;0.28;78.3;8.97;380.4;0.14;1.72;60.2;5.29;0.72;1.1;0.69;32.1
Raúl Albiol;CB;Villarreal;3115;0.03;89.4;2.83;351;0;0.14;55.6;2.28;0.66;0.61;0.38;58
Marc Albrighton;W;Leicester City;1746;0.23;68.8;2.63;238.6;0.21;1.55;50;6.65;1.44;1.6;0.46;31.9
Paco Alcácer;FW;Villarreal;1544;0.19;73.5;0.29;28;0.12;0.41;70;2.67;0.41;0.23;0.41;16.1
Pedro Alcalá;CB;Cádiz;909;0;75.6;1.39;151.9;0;0;0;1.58;2.18;0.69;1.19;52.8
Thiago Alcántara;CM;Liverpool;1854;0.11;89.5;10;399.6;0.15;1.36;66.7;6.55;2.04;2.09;2.38;59.6
Rubén Alcaraz;CM;Valladolid;2165;0.02;83.1;3.94;209.9;0;0.54;59.1;6.22;1.2;1.54;1.95;50
