Lorenzo Insigne;FW;Napoli
Roberto Insigne;MFFW;Benevento
Artur Ioniță;MF;Benevento
Ardian Ismajli;DF;Spezia
Armando Izzo;DF;Torino
Mato Jajalo;MF;Udinese
Jakub Jankto;MF;Sampdoria
Juan Jesus;DF;Roma
Hamed Junior Traorè;FWMF;Sassuolo
Musa Juwara;DF;Bologna
Nikola Kalinić;FW;Hellas Verona
Yayah Kallon;MFFW;Genoa
Pierre Kalulu;DF;Milan
Yann Karamoh;FWMF;Parma
Isaac Karamoko;DF;Sassuolo
Augustus Kargbo;FW;Crotone
Rick Karsdorp;DF;Roma
Franck Kessié;MF;Milan
Omar Khailoti;DF;Bologna
Giorgos Kiriakopoulos;DF;Sassuolo
Simon Kjær;DF;Milan
Ragnar Klavan;DF;Cagliari
Justin Kluivert;FWMF;Roma
Aleksandr Kokorin;FWMF;Fiorentina
Aleksandar Kolarov;DF;Inter
Márk Kosznovszky;MF;Parma
Christian Kouamé;FW;Fiorentina
Kalidou Koulibaly;DF;Napoli
Viktor Kovalenko;FW;Atalanta
Rade Krunić;MFFW;Milan
Juraj Kucka;MFFW;Parma
Dejan Kulusevski;MFFW;Juventus
Marash Kumbulla;DF;Roma
Jasmin Kurtić;MF;Parma
Antonino La Gumina;FW;Sampdoria
Sam Lammers;FWMF;Atalanta
Gianluca Lapadula;FW;Benevento
Danilo Larangeira;DF;Bologna
Kevin Lasagna;FW;Udinese
Kevin Lasagna;FW;Hellas Verona
Vincent Laurini;DF;Parma
Darko Lazović;DF;Hellas Verona
Manuel Lazzari;DF;Lazio
Rafael Leão;FW;Milan
Lucas Leiva;MF;Lazio
Lukas Lerager;MF;Genoa
Mehdi Léris;DFMF;Sampdoria
Karlo Letica;GK;Sampdoria
Gaetano Letizia;DF;Benevento
Matthijs de Ligt;DF;Juventus
Karol Linetty;MF;Torino
Pol Lirola;DFFW;Fiorentina
Fernando Llorente;FW;Udinese
Fernando Llorente;FWMF;Napoli
Stanislav Lobotka;MF;Napoli
Manuel Locatelli;MF;Sassuolo
Maxime Lopez;MF;Sassuolo
Pau López;GK;Roma
Matteo Lovato;DF;Hellas Verona
Hirving Lozano;FW;Napoli
José Luis Palomino;DF;Atalanta
Romelu Lukaku;FW;Inter
Saša Lukić;MF;Torino
Senad Lulić;DFMF;Lazio
Sebastiano Luperto;DF;Crotone
Lyanco;DF;Torino
Charalambos Lykogiannis;DF;Cagliari
Lisandro Magallán;DF;Crotone
Christian Maggio;DF;Benevento
Giulio Maggiore;MF;Spezia
Francesco Magnanelli;MF;Sassuolo
Giangiacomo Magnani;DF;Hellas Verona
Jean-Victor Makengo;MF;Udinese
Nikola Maksimović;DF;Napoli
Kévin Malcuit;DF;Fiorentina
Kévin Malcuit;MFFW;Napoli
Daniel Maldini;FWMF;Milan
Ruslan Malinovskyi;FWMF;Atalanta
Dennis Man;FWMF;Parma
Gianluca Mancini;DF;Roma
Rolando Mandragora;MF;Udinese
Rolando Mandragora;MF;Torino
Mario Mandžukić;FW;Milan
Niccolò Manfredini;GK;Benevento
Kostas Manolas;DF;Napoli
Juan Manuel Ramos;DF;Spezia
Federico Marchetti;GK;Genoa
Riccardo Marchizza;DF;Spezia
Gian Marco Ferrari;DF;Sassuolo
Răzvan Marin;MF;Cagliari
Marlon;DF;Sassuolo
Luca Marrone;DF;Crotone
Lucas Martínez Quarta;DF;Fiorentina
Lautaro Martínez;FW;Inter
Adam Marušić;DF;Lazio
Andrea Masiello;DF;Genoa
Giuseppe Mastinu;FW;Spezia
Ryder Matos;MF;Udinese
Federico Mattiello;DF;Spezia
Borja Mayoral;FW;Roma
Antonio Mazzotta;DF;Crotone
Ibrahima Mbaye;DF;Bologna
Weston McKennie;MF;Juventus
Gary Medel;DFMF;Bologna
Soualiho Meïté;MF;Torino
Soualiho Meïté;MF;Milan
