Player;Pos;Squad;Min
Valon Behrami;CM;Genoa;892
Brian Behrendt;CB;Arminia;79
Maximilian Beier;FW;Hoffenheim;10
Ishak Belfodil;FW;Hoffenheim;596
Erwan Belhadji;W;Dijon;30
Haris Belkebla;CM;Brest;2727
Stefan Bell;CB;Mainz 05;1266
Karim Bellarabi;W;Leverkusen;798
Jean-Ricner Bellegarde;W;Strasbourg;2086
Héctor Bellerín;FB;Arsenal;2089
Jude Bellingham;CM;Dortmund;1697
Andrea Belotti;FW;Torino;2888
Fran Beltrán;CM;Celta Vigo;1399
Sami Ben Amar;FW;Nîmes;7
Hatem Ben Arfa;AM;Bordeaux;1703
Salim Ben Seghir;W;Nice;7
Wissam Ben Yedder;FW;Monaco;2607
Ahmad Benali;CM;Crotone;1214
Samy Benchama;CM;Montpellier;42
Lars Bender;FB;Leverkusen;936
Sven Bender;CB;Leverkusen;1170
Darío Benedetto;FW;Marseille;1579
László Bénes;CM;Augsburg;660
László Bénes;CM;Mönchengladbach;150
Walter Benítez;GK;Nice;3420
Loris Benito;FB;Bordeaux;2651
Sergio Benito;FW;Valladolid;2
Bilal Benkhedim;AM;Saint-Étienne;73
Djamel Benlamri;CB;Lyon;149
Ismaël Bennacer;CM;Milan;1326
Saïd Benrahma;W;West Ham;1391
Yassine Benrahou;AM;Nîmes;1239
Ramy Bensebaini;FB;Mönchengladbach;1811
Josh Benson;CM;Burnley;264
Nabil Bentaleb;CM;Schalke 04;548
Rodrigo Bentancur;CM;Juventus;2324
Christian Benteke;FW;Crystal Palace;1816
Karim Benzema;FW;Real Madrid;2894
Yassine Benzia;AM;Dijon;407
Alessandro Berardi;GK;Hellas Verona;28
Domenico Berardi;W;Sassuolo;2475
Gaetano Berardi;FB;Leeds United;113
Yuri Berchiche;FB;Athletic Club;1682
Álex Berenguer;W;Torino;131
Álex Berenguer;W;Athletic Club;2278
Bartosz Bereszyński;FB;Sampdoria;2607
Jóhann Berg Guðmundsson;W;Burnley;1363
Sander Berge;CM;Sheffield Utd;1120
Steven Bergwijn;W;Tottenham;1208
Valon Berisha;CM;Reims;1645
Bernard;W;Everton;455
Federico Bernardeschi;W;Juventus;972
Bernardo;FB;Brighton;206
Paul Bernardoni;GK;Angers;3420
Juan Bernat;FB;Paris Saint-Germain;194
Dimitry Bertaud;GK;Montpellier;745
Marco Bertini;CM;Lazio;5
Ryan Bertrand;FB;Southampton;2598
Daniel Bessa;CM;Hellas Verona;615
Loïc Bessile;CB;Bordeaux;90
Louis Beyer;CB;Mönchengladbach;188
Bartosz Bialek;FW;Wolfsburg;270
Giulian Biancone;FB;Monaco;92
Ermin Bičakčić;CB;Hoffenheim;128
Pedro Bigas;CB;Eibar;1529
El Bilal Touré;FW;Reims;1245
Cristiano Biraghi;FB;Fiorentina;2803
