Player;Pos;Squad;Min
Geoffrey Kondogbia;CM;Atlético Madrid;611
Geoffrey Kondogbia;CM;Valencia;440
Lamine Koné;CB;Strasbourg;1042
Moussa Koné;FW;Nîmes;1755
Youssouf Koné;FB;Elche;73
Terence Kongolo;CB;Fulham;90
Ezri Konsa;CB;Aston Villa;3196
Laurent Koscielny;CB;Bordeaux;2218
Filip Kostić;W;Eintracht Frankfurt;2534
Márk Kosznovszky;CM;Parma;90
Christian Kouamé;FW;Fiorentina;995
Nianzou Kouassi;CB;Bayern Munich;118
Kalidou Koulibaly;CB;Napoli;2209
Jules Koundé;CB;Sevilla;2975
Boubakar Kouyaté;CB;Metz;1964
Cheikhou Kouyaté;CB;Crystal Palace;3121
Mateo Kovačić;CM;Chelsea;1815
Viktor Kovalenko;AM;Atalanta;4
Emil Krafth;FB;Newcastle Utd;1288
Andrej Kramarić;FW;Hoffenheim;2379
Christoph Kramer;CM;Mönchengladbach;2033
Jean-Philippe Krasso;FW;Saint-Étienne;223
Toni Kroos;CM;Real Madrid;2117
Filip Krovinović;AM;West Brom;546
Rade Krunić;CM;Milan;723
Max Kruse;AM;Union Berlin;1629
Lukas Kübler;FB;Freiburg;884
Takefusa Kubo;W;Villarreal;299
Takefusa Kubo;W;Getafe;805
Juraj Kucka;CM;Parma;2334
Kuki;AM;Valladolid;30
Dejan Kulusevski;W;Juventus;1923
Marash Kumbulla;CB;Roma;1363
Pierre Kunde;CM;Mainz 05;513
Fabian Kunze;CM;Arminia;1270
Jasmin Kurtić;CM;Parma;2739
Layvin Kurzawa;FB;Paris Saint-Germain;1278
Dereck Kutesa;W;Reims;687
Ahmed Kutucu;FW;Schalke 04;108
Enock Kwateng;FB;Bordeaux;1038
Antonino La Gumina;FW;Sampdoria;341
Gaëtan Laborde;FW;Montpellier;3256
Alexandre Lacazette;FW;Arsenal;1923
Tom Lacoux;CM;Bordeaux;523
Maxence Lacroix;CB;Wolfsburg;2590
Alban Lafont;GK;Nantes;3420
Víctor Laguardia;CB;Alavés;2631
Konrad Laimer;CM;RB Leipzig;84
Stefan Lainer;FB;Mönchengladbach;2768
Diego Lainez;W;Betis;862
Kenny Lala;FB;Strasbourg;1834
Adam Lallana;AM;Brighton;1596
Érik Lamela;W;Tottenham;717
Sam Lammers;FW;Atalanta;291
Tariq Lamptey;FB;Brighton;886
Loïck Landre;CB;Nîmes;1626
Michael Langer;GK;Schalke 04;239
Manuel Lanzini;AM;West Ham;566
Gianluca Lapadula;FW;Benevento;2563
Aymeric Laporte;CB;Manchester City;1344
Julien Laporte;CB;Lorient;2659
Danilo Larangeira;CB;Bologna;3132
Gautier Larsonneur;GK;Brest;3150
Kevin Lasagna;FW;Udinese;1103
Kevin Lasagna;FW;Hellas Verona;1267
Jamaal Lascelles;CB;Newcastle Utd;1625
Paul Lasne;CM;Brest;1681
Toni Lato;FB;Valencia;728
Danny Latza;CM;Mainz 05;1800
Armand Lauriente;W;Lorient;1622
Vincent Laurini;FB;Parma;870
Lauti;FW;Celta Vigo;14
Wesley Lautoa;CB;Dijon;1608
Valentino Lazaro;W;Mönchengladbach;1240
Darko Lazović;W;Hellas Verona;2503
Manuel Lazzari;W;Lazio;2613
Jérémy Le Douaron;FW;Brest;816
Enzo Le Fée;AM;Lorient;1816
Vincent Le Goff;FB;Lorient;2306
Maxime Le Marchand;CB;Fulham;123
Robin Le Normand;CB;Real Sociedad;2747
Damien Le Tallec;CM;Montpellier;1227
James Lea Siliki;CM;Rennes;255
Rafael Leão;FW;Milan;1924
Jean-Louis Leca;GK;Lens;3313
Mathew Leckie;W;Hertha BSC;506
Benjamin Lecomte;GK;Monaco;2520
Jeremías Ledesma;GK;Cádiz;2880
Pierre Lees-Melou;CM;Nice;2063
Lucas Leiva;CM;Lazio;2131
Florian Lejeune;CB;Alavés;3015
Iñigo Lekue;FB;Athletic Club;644
Thomas Lemar;AM;Atlético Madrid;1366
Mario Lemina;CM;Fulham;1703
Fabien Lemoine;CM;Lorient;1934
Clément Lenglet;CB;Barcelona;2475
Bernd Leno;GK;Arsenal;3131
Christopher Lenz;FB;Union Berlin;2248
Pedro León;W;Eibar;935
Sergio León;FW;Levante;748
Lukas Lerager;CM;Genoa;1159
Mehdi Léris;CM;Sampdoria;386
Khanya Leshabela;CM;Leicester City;10
Karlo Letica;GK;Sampdoria;90
Gaetano Letizia;FB;Benevento;1570
Robert Lewandowski;FW;Bayern Munich;2458
Jamal Lewis;FB;Newcastle Utd;1837
Aaron Leya Iseka;FW;Metz;1008
Yanis Lhery;FW;Saint-Étienne;30
Dimitri Liénard;CM;Strasbourg;1829
Philipp Lienhart;CB;Freiburg;2993
Matthijs de Ligt;CB;Juventus;2220
Isaac Lihadji;W;Lille;196
Dimitris Limnios;W;Köln;378
Victor Lindelöf;CB;Manchester Utd;2585
Karol Linetty;CM;Torino;1832
Jesse Lingard;AM;West Ham;1421
Pol Lirola;FB;Fiorentina;498
Pol Lirola;FB;Marseille;1553
Jake Livermore;CM;West Brom;1242
Diego Llorente;CB;Leeds United;1204
Diego Llorente;CB;Real Sociedad;90
Fernando Llorente;FW;Udinese;713
Fernando Llorente;FW;Napoli;52
Marcos Llorente;CM;Atlético Madrid;2956
Hugo Lloris;GK;Tottenham;3420
Giovani Lo Celso;CM;Tottenham;945
Stanislav Lobotka;CM;Napoli;154
Manuel Locatelli;CM;Sassuolo;2883
Renan Lodi;FB;Atlético Madrid;1129
Ruben Loftus-Cheek;CM;Chelsea;60
Ruben Loftus-Cheek;CM;Fulham;1909
Niklas Lomb;GK;Leverkusen;135
Kevin Long;CB;Burnley;637
Shane Long;FW;Southampton;210
Matthew Longstaff;CM;Newcastle Utd;377
Sean Longstaff;CM;Newcastle Utd;1412
Ademola Lookman;W;Fulham;2747
Anthony Lopes;GK;Lyon;3420
Rony Lopes;W;Nice;1783
Pedro López Muñoz;FB;Huesca;1067
Adrián López;FW;Osasuna;481
Javi López;FB;Alavés;248
Maxime Lopez;CM;Sassuolo;1864
Maxime Lopez;CM;Marseille;134
Pau López;GK;Roma;1817
Roberto López;AM;Real Sociedad;505
Unai López;CM;Athletic Club;1424
Dion Lopy;CM;Reims;256
Jordan Lotomba;FB;Nice;2123
Adrien Louveau;CB;Lens;8
Imran Louza;CM;Nantes;2379
Matteo Lovato;CB;Hellas Verona;1386
Max Lowe;FB;Sheffield Utd;550
Eduard Löwen;CM;Hertha BSC;85
Matthew Lowton;FB;Burnley;3060
Anthony Lozano;FW;Cádiz;1523
Hirving Lozano;W;Napoli;1965
Jan Luca Schuler;FW;Schalke 04;40
Jean Lucas;CM;Lyon;172
Jean Lucas;CM;Brest;1011
Anderson Lucoqui;FB;Arminia;1604
Jeison Lucumí;W;Elche;49
Kilian Ludewig;FB;Schalke 04;520
José Luis Gayà;FB;Valencia;2846
José Luis Morales;FW;Levante;2439
José Luis Palomino;CB;Atalanta;2428
Florentino Luís;CM;Monaco;241
Luisinho;FB;Huesca;179
Luismi;CM;Elche;168
David Luiz;CB;Arsenal;1396
Douglas Luiz;CM;Aston Villa;2781
Romelu Lukaku;FW;Inter;2884
Dodi Lukebakio;W;Hertha BSC;1855
Saša Lukić;CM;Torino;2106
Senad Lulić;W;Lazio;718
John Lundstram;CM;Sheffield Utd;2032
Sebastiano Luperto;CB;Crotone;1879
Andreas Luthe;GK;Union Berlin;2768
Lyanco;CB;Torino;1959
Charalambos Lykogiannis;FB;Cagliari;2418
Yann M'Vila;CM;Saint-Étienne;20
Alexis Mac Allister;AM;Brighton;1115
Darwin Machís;W;Granada;2026
Tim Maciejewski;W;Union Berlin;8
Luca Mack;CM;Stuttgart;6
Yvann Macon;FB;Saint-Étienne;539
James Maddison;AM;Leicester City;2099
Mikail Maden;AM;Schalke 04;6
Pablo Maffeo;FB;Huesca;1964
Lisandro Magallán;CB;Crotone;2181
Christian Maggio;FB;Benevento;297
Giulio Maggiore;CM;Spezia;2214
Francesco Magnanelli;CM;Sassuolo;440
Giangiacomo Magnani;CB;Hellas Verona;1510
Hugo Magnetti;CM;Brest;603
Harry Maguire;CB;Manchester Utd;3047
Abdallahi Mahmoud;CM;Alavés;66
Hicham Mahou;W;Nice;34
Riyad Mahrez;W;Manchester City;1949
Arne Maier;CM;Arminia;1034
Arne Maier;CM;Hertha BSC;30
Habib Maïga;CM;Metz;2693
Mike Maignan;GK;Lille;3420
Ainsley Maitland-Niles;CM;Arsenal;490
Ainsley Maitland-Niles;CM;West Brom;1230
Josh Maja;FW;Fulham;810
Josh Maja;FW;Bordeaux;804
Radosław Majecki;GK;Monaco;90
Abdul Majeed Waris;FW;Strasbourg;552
Marco Majouga;W;Nîmes;105
Jean-Victor Makengo;CM;Udinese;522
Nemanja Maksimović;CM;Getafe;2728
Nikola Maksimović;CB;Napoli;1207
Adilson Malanda;CM;Nîmes;19
Filip Malbašić;W;Cádiz;860
Kévin Malcuit;FB;Fiorentina;207
Kévin Malcuit;FB;Napoli;33
Daniel Maldini;AM;Milan;29
Ruslan Malinovskyi;AM;Atalanta;1876
Yunus Mallı;AM;Wolfsburg;58
Hugo Mallo;FB;Celta Vigo;2602
Mickael Malsa;CM;Levante;2338
Dennis Man;W;Parma;699
Hianga Mananga Mbock;CM;Brest;458
Vincent Manceau;FB;Angers;2309
Gianluca Mancini;CB;Roma;2852
Steve Mandanda;GK;Marseille;3330
Reinildo Mandava;FB;Lille;2180
Aïssa Mandi;CB;Betis;2392
Rolando Mandragora;CM;Udinese;398
Rolando Mandragora;CM;Torino;1525
Mario Mandžukić;FW;Milan;212
Sadio Mané;W;Liverpool;2810
Niccolò Manfredini;GK;Benevento;90
Eliaquim Mangala;CB;Valencia;321
Orel Mangala;CM;Stuttgart;2109
Thomas Mangani;CM;Angers;2691
Vito Mannone;GK;Monaco;810
Kostas Manolas;CB;Napoli;2298
Javier Manquillo;FB;Newcastle Utd;825
Juan Manuel Ramos;FB;Spezia;294
Myziane Maolida;FW;Nice;1077
Faitout Maouassa;FB;Rennes;1170
Sekou Mara;FW;Bordeaux;229
Maranhão;FW;Valladolid;1177
Fernando Marçal;FB;Wolves;623
Fernando Marçal;FB;Lyon;78
Marcelo;CB;Real Madrid;1050
Marcelo;CB;Lyon;2907
Solly March;W;Brighton;1672
Federico Marchetti;GK;Genoa;334
Riccardo Marchizza;FB;Spezia;1561
Gian Marco Ferrari;CB;Sassuolo;3014
Iván Marcone;CM;Elche;2645
Óscar de Marcos;FB;Athletic Club;1520
Dario Maresic;CB;Reims;514
José Mari;CM;Cádiz;1451
Pablo Marí;CB;Arsenal;900
José María Giménez;CB;Atlético Madrid;1765
Mariano;FW;Real Madrid;513
Jordan Marié;CM;Dijon;1432
Adrián Marín;FB;Alavés;93
Adrián Marín;FB;Granada;269
Răzvan Marin;CM;Cagliari;2965
Guillermo Maripán;CB;Monaco;2089
Marlon;CB;Sassuolo;1742
Omar Marmoush;FW;Wolfsburg;1
Marquinhos;CB;Paris Saint-Germain;2128
Luca Marrone;CB;Crotone;1588
Roger Martí;FW;Levante;2198
Anthony Martial;FW;Manchester Utd;1480
Aarón Martín;FB;Celta Vigo;1540
Aarón Martín;FB;Mainz 05;262
Álex Martín;CB;Cádiz;96
Jonas Martin;CM;Rennes;482
Martinelli;W;Arsenal;589
Lucas Martínez Quarta;CB;Fiorentina;1483
Emiliano Martínez;GK;Aston Villa;3420
Iñigo Martínez;CB;Athletic Club;2519
Javi Martínez;CM;Osasuna;460
Javi Martínez;CM;Bayern Munich;466
Josep Martinez;GK;RB Leipzig;90
Lautaro Martínez;FW;Inter;2561
Pablo Martinez;CM;Nîmes;540
Gelson Martins;W;Monaco;1551
Adam Marušić;W;Lazio;2966
Sylvain Marveaux;AM;Lorient;200
Marvin;W;Real Madrid;133
Omar Mascarell;CM;Schalke 04;1762
Andrea Masiello;CB;Genoa;2563
Jordi Masip;GK;Valladolid;2250
Roberto Massimo;W;Stuttgart;757
Giuseppe Mastinu;W;Spezia;32
Arthur Masuaku;FB;West Ham;1006
Jaime Mata;FW;Getafe;2037
Juan Mata;AM;Manchester Utd;509
Pape Matar Sarr;CM;Metz;1594
Eliot Matazo;CM;Monaco;314
Jean-Philippe Mateta;FW;Crystal Palace;221
Jean-Philippe Mateta;FW;Mainz 05;997
Nemanja Matić;CM;Manchester Utd;1106
Joël Matip;CB;Liverpool;691
Rabbi Matondo;W;Schalke 04;220
Ryder Matos;AM;Udinese;13
Henning Matriciani;FB;Schalke 04;24
Chrislain Matsima;CB;Monaco;352
Federico Mattiello;FB;Spezia;36
Neal Maupay;FW;Brighton;2512
Tony Mauricio;AM;Lens;502
Stephy Mavididi;W;Montpellier;2030
Konstantinos Mavropanos;CB;Stuttgart;1463
Eric Maxim Choupo-Moting;FW;Bayern Munich;820
Borja Mayoral;FW;Roma;1551
Borja Mayoral;FW;Real Madrid;23
Youssef Maziz;W;Metz;257
Antonio Mazzotta;W;Crotone;56
Kevin Mbabu;FB;Wolfsburg;1642
Kylian Mbappé;FW;Paris Saint-Germain;2380
Ibrahima Mbaye;FB;Bologna;428
Jean-Manuel Mbom;CM;Werder Bremen;1160
Nathanael Mbuku;W;Reims;2210
James McArthur;CM;Crystal Palace;1466
Oliver McBurnie;FW;Sheffield Utd;1324
Alex McCarthy;GK;Southampton;2700
James McCarthy;CM;Crystal Palace;821
John McGinn;CM;Aston Villa;3330
David McGoldrick;FW;Sheffield Utd;2397
Weston McKennie;CM;Juventus;1702
Dwight McNeil;W;Burnley;3069
Scott McTominay;CM;Manchester Utd;2129
Gary Medel;CM;Bologna;511
Facundo Medina;CB;Lens;2007
Nathan de Medina;FB;Arminia;639
Ben Mee;CB;Burnley;2693
Joshua Mees;W;Union Berlin;5
Admir Mehmedi;AM;Wolfsburg;820
Soualiho Meïté;CM;Torino;920
Soualiho Meïté;CM;Milan;588
Hannibal Mejbri;AM;Manchester Utd;9
Farid El Melali;W;Angers;414
Filippo Melegoni;CM;Genoa;389
Gonzalo Melero;CM;Levante;1853
Birger Meling;FB;Nîmes;2328
Arthur Melo;CM;Juventus;1157
Houboulang Mendes;FB;Lorient;1297
Pedro Mendes;CB;Montpellier;1626
Thiago Mendes;CM;Lyon;2243
Brais Méndez;W;Celta Vigo;2671
Édgar Méndez;W;Alavés;2090
Eñaut Mendía;FW;Eibar;61
Batista Mendy;CM;Nantes;76
Benjamin Mendy;FB;Manchester City;953
Edouard Mendy;GK;Chelsea;2745
Edouard Mendy;GK;Rennes;90
Ferland Mendy;FB;Real Madrid;2208
Nampalys Mendy;CM;Leicester City;1459
Hamza Mendyl;FB;Schalke 04;95
Levent Mercan;AM;Schalke 04;5
Jorge Meré;CB;Köln;1300
Alex Meret;GK;Napoli;1980
Mikel Merino;CM;Real Sociedad;2154
Martín Merquelanz;W;Real Sociedad;549
Yıldırım Mert Çetin;CB;Hellas Verona;418
Dries Mertens;FW;Napoli;1459
Roque Mesa;CM;Valladolid;1761
Illan Meslier;GK;Leeds United;3150
Lionel Messi;W;Barcelona;3023
Junior Messias;AM;Crotone;3215
Thomas Meunier;FB;Dortmund;1472
Mexer;CB;Bordeaux;712
Max Meyer;AM;Köln;351
Omenuke Mfulu;CM;Elche;789
Míchel;CM;Valladolid;946
Jonas Michel Dirkner;CM;Hertha BSC;16
Jonas Michelbrink;AM;Hertha BSC;39
Clément Michelin;FB;Lens;1154
Edouard Michut;AM;Paris Saint-Germain;2
Petar Mićin;AM;Udinese;15
Florian Miguel;FB;Nîmes;1538
Valentin Mihaila;W;Parma;698
Nikola Milenković;CB;Fiorentina;3034
Arkadiusz Milik;FW;Marseille;1220
Sergej Milinković-Savić;CM;Lazio;2746
Vanja Milinković-Savić;GK;Torino;450
Éder Militão;CB;Real Madrid;1133
Luka Milivojević;CM;Crystal Palace;2359
Luis Milla;CM;Granada;1253
Pere Milla;W;Elche;1981
Alejandro Millán;FW;Villarreal;2
Vincenzo Millico;W;Torino;21
Enzo Millot;CM;Monaco;41
James Milner;CM;Liverpool;1070
Santi Mina;FW;Celta Vigo;2412
Yerry Mina;CB;Everton;1937
Takumi Minamino;W;Southampton;711
Takumi Minamino;W;Liverpool;293
Tyrone Mings;CB;Aston Villa;3194
Óscar Mingueza;CB;Barcelona;1901
Rafa Mir;FW;Huesca;2877
Jorge Miramón;FB;Levante;1732
Aleksei Miranchuk;AM;Atalanta;675
Juan Miranda;FB;Betis;1652
Antonio Mirante;GK;Roma;1153
Tyrick Mitchell;FB;Crystal Palace;1710
Aleksandar Mitrović;FW;Fulham;1402
Stefan Mitrović;CB;Strasbourg;2784
Maximilian Mittelstädt;FB;Hertha BSC;1797
Henrikh Mkhitaryan;AM;Roma;2745
Jakub Moder;CM;Brighton;647
Anthony Modeste;FW;Saint-Étienne;293
Anthony Modeste;FW;Köln;221
Luka Modrić;CM;Real Madrid;2733
Terem Moffi;FW;Lorient;2073
Kevin Möhwald;CM;Werder Bremen;1555
Niklas Moisander;CB;Werder Bremen;1222
Dion Moise Sahi;ST;Strasbourg;94
Johan Mojica;FB;Atalanta;299
Johan Mojica;FB;Elche;1204
Guillem Molina;CB;Valencia;153
Jorge Molina;FW;Granada;1615
Nahuel Molina;FB;Udinese;1828
Salvatore Molina;W;Crotone;2315
Victor Mollejo;W;Getafe;72
Florent Mollet;CM;Montpellier;2355
Jayson Molumby;CM;Brighton;1
Alkhaly Momo Cissé;W;Stuttgart;38
Jon Moncayola;CM;Osasuna;2660
Gabriele Moncini;FW;Benevento;357
Thomas Monconduit;CM;Lorient;1153
Kévin Monnet-Paquet;W;Saint-Étienne;564
Nacho Monreal;FB;Real Sociedad;2082
Cristóbal Montiel Rodríguez;AM;Fiorentina;4
Lorenzo Montipò;GK;Benevento;3330
Ángel Montoro;CM;Granada;1362
Martín Montoya;FB;Betis;239
Emre Mor;W;Celta Vigo;500
Luca Mora;CM;Spezia;113
Wesley Moraes;FW;Aston Villa;18
Álvaro Morata;FW;Juventus;2014
Jan Morávek;CM;Augsburg;267
Jon Morcillo;W;Athletic Club;1363
Jérémy Morel;CB;Lorient;2493
Alberto Moreno;FB;Villarreal;193
Álex Moreno;FB;Betis;1786
Gerard Moreno;FW;Villarreal;2673
Tete Morente;W;Elche;2019
Mateu Morey;FB;Dortmund;829
Wes Morgan;CB;Leicester City;18
Raúl Moro;W;Lazio;11
Loren Morón;FW;Betis;991
Pedro Mosquera;CM;Huesca;2050
Aimen Moueffek;CM;Saint-Étienne;743
Youssoufa Moukoko;FW;Dortmund;422
Harold Moukoudi;CB;Saint-Étienne;2276
Jessy Moulin;GK;Saint-Étienne;2610
Steve Mounié;FW;Brest;2680
Mason Mount;AM;Chelsea;2890
Lucas Moura;W;Tottenham;1411
Lys Mousset;FW;Sheffield Utd;296
João Moutinho;CM;Wolves;2528
Samuel Moutoussamy;CM;Nantes;82
Loris Mouyokolo;CB;Lorient;19
Javi Moyano;FB;Valladolid;103
Nordi Mukiele;FB;RB Leipzig;1677
Benoît Mukinayi;CB;Monaco;2870
Mert Müldür;FB;Sassuolo;1672
Florian Müller;GK;Freiburg;2790
Sebastian Müller;FW;Arminia;4
Thomas Müller;AM;Bayern Munich;2674
Joel Mumbongo;FW;Burnley;40
Marshall Munetsi;CM;Reims;1928
Iker Muniain;AM;Athletic Club;1943
Aihen Muñoz;FB;Real Sociedad;1210
Joaquín Muñoz;W;Huesca;41
Luis Muriel;FW;Atalanta;1436
Jeison Murillo;CB;Celta Vigo;2699
Vedat Muriqi;FW;Lazio;832
Jacob Murphy;W;Newcastle Utd;1626
Nicola Murru;FB;Torino;569
Petar Musa;FW;Union Berlin;715
Mateo Musacchio;CB;Lazio;229
Mateo Musacchio;CB;Milan;34
Yunus Musah;W;Valencia;1530
Jamal Musiala;AM;Bayern Munich;881
Juan Musso;GK;Udinese;3147
Shkodran Mustafi;CB;Arsenal;47
Shkodran Mustafi;CB;Schalke 04;1037
Yoshinori Mutō;FW;Eibar;1122
Phillipp Mwene;FB;Mainz 05;1674
Joakim Mæhle;FB;Atalanta;1216
Obite N'Dicka;CB;Eintracht Frankfurt;2044
Kévin N'Doram;CM;Metz;307
Stanley N'Soki;FB;Nice;1246
Nacho;CB;Valladolid;1813
Nacho;FB;Real Madrid;2000
Yuto Nagatomo;FB;Marseille;1594
Kenny Nagera;FW;Paris Saint-Germain;2
Radja Nainggolan;AM;Cagliari;1841
Radja Nainggolan;AM;Inter;46
Marvelous Nakamba;CM;Aston Villa;749
Nahitan Nández;CM;Cagliari;2737
Nano;FW;Cádiz;9
Paul Nardi;GK;Lorient;2070
Matija Nastasić;CB;Schalke 04;1221
Roberto Navarro;AM;Real Sociedad;35
Ximo Navarro;FB;Alavés;2375
Jesús Navas;FB;Sevilla;2827
Keylor Navas;GK;Paris Saint-Germain;2520
Raúl Navas;CB;Osasuna;168
Papa Ndiaga Yade;AM;Metz;1001
Iliman Ndiaye;AM;Sheffield Utd;12
Wilfred Ndidi;CM;Leicester City;2176
Bridge Ndilu;FW;Nantes;42
Tanguy Ndombele;CM;Tottenham;2091
Dan Ndoye;W;Nice;551
Paul Nebel;W;Mainz 05;51
Álvaro Negredo;FW;Cádiz;2198
Reiss Nelson;W;Arsenal;71
Ilija Nestorovski;FW;Udinese;701
Neto;GK;Barcelona;630
Pedro Neto;W;Wolves;2550
Luca Netz;FB;Hertha BSC;309
Manuel Neuer;GK;Bayern Munich;2970
Florian Neuhaus;CM;Mönchengladbach;2622
Carlos Neva;FB;Granada;1797
Rúben Neves;CM;Wolves;2675
Neymar;W;Paris Saint-Germain;1415
Yvan Neyou;CM;Saint-Étienne;2438
Jessic Ngankam;FW;Hertha BSC;296
Muzinga Ngonda;FB;Dijon;2307
Ahmad Ngouyamsa;FB;Dijon;157
Opa Nguette;W;Metz;1132
Moussa Niakhate;CB;Mainz 05;2866
Ibrahima Niane;FW;Metz;663
M'Baye Niang;FW;Rennes;422
Mamor Niang;FW;Getafe;22
Florian Niederlechner;FW;Augsburg;1737
Nieto;FW;Cádiz;14
Saúl Ñíguez;CM;Atlético Madrid;2033
Joakim Nilsson;CB;Arminia;2162
Casimir Ninga;W;Angers;23
Nino;FW;Elche;284
Fernando Niño;FW;Villarreal;593
Eddie Nketiah;FW;Arsenal;423
Nicolas Nkoulou;CB;Torino;1358
Niels Nkounkou;FB;Everton;81
Christopher Nkunku;AM;RB Leipzig;1892
Dan Nlundulu;FW;Southampton;111
Mark Noble;CM;West Ham;712
Nolito;W;Celta Vigo;2597
Arnaud Nordin;W;Saint-Étienne;1771
Håvard Nordtveit;CB;Hoffenheim;700
Will Norris;GK;Burnley;180
Oliver Norwood;CM;Sheffield Utd;2220
Olivier Ntcham;CM;Marseille;120
Alexander Nübel;GK;Bayern Munich;90
Kasim Nuhu;CB;Hoffenheim;987
Unai Núñez;CB;Athletic Club;2109
Bram Nuytinck;CB;Udinese;1641
Kelechi Nwakali;AM;Huesca;141
Simeon Nwankwo;FW;Crotone;2943
Gerzino Nyamsi;CB;Rennes;871
Allan Nyom;FB;Getafe;2323
M'Bala Nzola;FW;Spezia;1896
Steven Nzonzi;CM;Rennes;2908
Jack O'Connell;CB;Sheffield Utd;180
Dara O'Shea;CB;West Brom;2102
Michael Obafemi;FW;Southampton;61
Pedro Obiang;CM;Sassuolo;1469
Jan Oblak;GK;Atlético Madrid;3420
Lucas Ocampos;W;Sevilla;2631
Bastian Oczipka;FB;Schalke 04;1922
Brain Oddei;W;Sassuolo;45
Denis Odoi;FB;Fulham;270
Álvaro Odriozola;FB;Real Madrid;829
Angelo Ogbonna;CB;West Ham;2492
Stefano Okaka;FW;Udinese;1489
Shinji Okazaki;FW;Huesca;1128
Masaya Okugawa;W;Arminia;914
Lucas Olaza;FB;Valladolid;1260
Lucas Olaza;FB;Celta Vigo;1615
Christian Oliva;CM;Cagliari;388
Christian Oliva;CM;Valencia;198
Kiko Olivas;CB;Valladolid;177
Paulo Oliveira;CB;Eibar;2641
Mathías Olivera;FB;Getafe;2614
Maximiliano Olivera;FB;Fiorentina;91
Dani Olmo;AM;RB Leipzig;2194
Robin Olsen;GK;Everton;630
Jonas Omlin;GK;Montpellier;2673
Jerome Onguene;CB;Genoa;181
Karim Onisiwo;FW;Mainz 05;1843
Josh Onomah;AM;Fulham;374
Javier Ontiveros;W;Huesca;918
Henry Onyekuru;W;Monaco;140
Willi Orban;CB;RB Leipzig;2363
Fabián Orellana;W;Valladolid;2138
Divock Origi;FW;Liverpool;186
Riccardo Orsolini;W;Bologna;1755
Stefan Ortega;GK;Arminia;3060
Yuya Osako;AM;Werder Bremen;762
Ben Osborn;W;Sheffield Utd;1604
Victor Osimhen;FW;Napoli;1573
Yordan Osorio;CB;Parma;1809
David Ospina;GK;Napoli;1440
Owen Otasowie;CM;Wolves;187
Otávio;CM;Bordeaux;1559
Paulo Otávio;FB;Wolfsburg;1737
Remi Oudin;W;Bordeaux;2420
Alexandre Oukidja;GK;Metz;3058
Zinédine Ould Khaled;CM;Angers;38
Adam Ounas;W;Crotone;1199
Adam Ounas;W;Cagliari;308
Thomas Ouwejan;FB;Udinese;413
Reece Oxford;CB;Augsburg;1358
Alex Oxlade-Chamberlain;CM;Liverpool;253
Mikel Oyarzabal;W;Real Sociedad;2408
Ambroise Oyongo;FB;Montpellier;558
Salih Özcan;CM;Köln;1371
Levin Öztunalı;W;Mainz 05;758
Pablo;CB;Bordeaux;1076
Fernando Pacheco;GK;Alavés;3349
Jon Pacheco;CB;Real Sociedad;32
Gonçalo Paciência;FW;Schalke 04;749
Daniele Padelli;GK;Inter;45
Mattia Pagliuca;FW;Bologna;13
Vincent Pajot;CM;Metz;914
Rodrigo Palacio;FW;Bologna;2502
Exequiel Palacios;CM;Leverkusen;572
Helibelton Palacios;FB;Elche;743
Ante Palaversa;CM;Getafe;9
Alberto Paleari;GK;Genoa;206
Nicolas Pallois;CB;Nantes;2776
Emerson Palmieri;FB;Chelsea;90
Antonio Palumbo;CM;Sampdoria;7
Martin Palumbo;CM;Udinese;63
Goran Pandev;AM;Genoa;1404
Ivor Pandur;GK;Hellas Verona;332
Jonathan Panzo;CB;Dijon;1801
Matondo-Merveille Papela;CM;Mainz 05;2
Lucas Paquetá;AM;Lyon;2275
Gaëtan Paquiez;FB;Nîmes;1046
Rubén Pardo;CM;Bordeaux;23
Leandro Paredes;CM;Paris Saint-Germain;1302
Daniel Parejo;CM;Villarreal;3112
Vittorio Parigini;W;Genoa;56
Marco Parolo;CM;Lazio;653
Thomas Partey;CM;Arsenal;1534
Thomas Partey;CM;Atlético Madrid;200
Mario Pašalić;CM;Atalanta;1122
Felix Passlack;FB;Dortmund;362
Christian Pastina;CB;Benevento;121
Javier Pastore;AM;Roma;82
Patric;CB;Lazio;1595
Rui Patrício;GK;Wolves;3329
Paulinho;W;Leverkusen;65
Gabriel Paulista;CB;Valencia;2716
Benjamin Pavard;FB;Bayern Munich;1943
Jiří Pavlenka;GK;Werder Bremen;3060
Vasileios Pavlidis;CB;Schalke 04;2
Mateo Pavlović;CB;Angers;1104
Strahinja Pavlović;CB;Monaco;1
Leonardo Pavoletti;FW;Cagliari;1584
Dimitri Payet;W;Marseille;2417
Nehuén Paz;CB;Bologna;363
Bailey Peacock-Farrell;GK;Burnley;360
Mads Pedersen;FB;Augsburg;887
Alfonso Pedraza;FB;Villarreal;2093
Pedri;AM;Barcelona;2415
Pedro;W;Roma;1591
João Pedro;AM;Cagliari;3253
Gianluca Pegolo;GK;Sassuolo;90
Peter Pekarík;FB;Hertha BSC;1692
Yohann Pelé;GK;Marseille;90
Graziano Pellè;FW;Parma;614
Pietro Pellegri;FW;Monaco;230
Lorenzo Pellegrini;CM;Roma;2598
Luca Pellegrini;FB;Genoa;639
Facundo Pellistri;W;Alavés;542
Andy Pelmard;CB;Nice;1207
