Player;Pos;Squad;Min;Goals;Non-penalty Expected Goals;Non-penalty Expected Goals/Shot;Aerial Duels Won;Aerial Duels Won %;Touches Inside Opposition's Penalty Box;Expected Assists;Completed Passes into Penalty Box;Successful Dribbles;Successful Dribbles %;Dispossessed;Successful Pressures
Anastasios Donis;FW;Reims;97;0;0;0.03;0.91;100;0;0;0.91;0.91;50;1.82;1.82
Gianluigi Donnarumma;GK;Milan;3330;0;0;0;0;0;0;0;0;0.05;100;0;0
Gabriel Dos Santos;CB;Arsenal;1996;0.09;0.05;0.06;3.11;60.5;1.13;0;0.14;0.18;44.4;0.18;2.48
Bas Dost;FW;Eintracht Frankfurt;817;0.44;0.38;0.25;7.69;68.6;4.18;0.25;0.66;0.11;100;0.99;3.41
Lucas Douath;CM;Saint-Étienne;1327;0;0.03;0.09;1.43;58.3;0.27;0.01;0.14;0.88;54.2;0.95;5.85
Abdoulaye Doucouré;CM;Everton;2443;0.07;0.08;0.12;1.33;58.1;1.44;0.08;0.77;0.63;60.7;1.11;5.83
Cheick Doucouré;CM;Lens;2627;0.07;0.04;0.03;1.06;58.5;0.75;0.06;0.68;1.06;75.6;0.79;5.82
Fodé Doucouré;FB;Reims;333;0;0.05;0.06;0.54;33.3;0.54;0.14;0.81;0.81;75;0.81;2.43
Mahamadou Doucouré;W;Nîmes;45;0;0;0;2;50;6;0;0;0;0;2;6
Cheick Doukouré;CM;Levante;101;0;0;0;0.91;50;0.91;0.09;0;0.91;50;1.82;7.27
Idrissa Doumbia;CM;Huesca;779;0;0.05;0.1;0.23;28.6;0.11;0;0.11;1.61;77.8;0.8;4.48
Moussa Doumbia;W;Reims;899;0;0.06;0.04;0.2;10;3.6;0.12;1.1;2.4;55.8;2.4;2.8
Souleyman Doumbia;FB;Angers;2222;0;0.02;0.07;1.17;58;0.77;0.11;0.77;1.34;67.3;1.09;3.44
Aleksandar Dragović;CB;Leverkusen;1136;0.08;0.02;0.1;2.14;64.3;0.48;0.03;0.32;0.4;100;0.08;3.89
Bartłomiej Drągowski;GK;Fiorentina;3148;0;0;0;0;0;0;0;0.03;0;0;0;0.06
Denis Drăguș;FW;Crotone;177;0;0.05;0.02;0.5;25;2;0;2;3;75;4;6.5
Radu Drăgușin;CB;Juventus;1;0;0;0;0;0;0;0;0;0;0;0;0
Mouhamadou Drammeh;CM;Reims;173;0;0;0.02;1.05;25;1.05;0;0;2.63;83.3;1.58;4.21
Julian Draxler;AM;Paris Saint-Germain;1064;0.34;0.19;0.18;0.51;66.7;3.64;0.24;1.86;1.78;63.6;1.19;2.63
Dominick Drexler;AM;Köln;1233;0.15;0.2;0.23;1.09;41.7;3.5;0.12;1.17;0.73;52.6;1.68;6.06
Matthieu Dreyer;GK;Lorient;1350;0;0;0;0;0;0;0;0;0;0;0;0
Domingos Duarte;CB;Granada;2363;0.04;0.05;0.19;2.09;61.8;0.53;0.04;0.15;0.15;80;0.23;1.79
Léo Duarte;CB;Milan;19;0;0;0;0;0;0;0;0;0;0;0;15
Óscar Duarte;CB;Levante;2060;0.04;0.05;0.19;3.71;63;0.7;0.01;0;0.13;75;0.09;2.62
Rubén Duarte;FB;Alavés;2545;0.04;0.05;0.11;2.08;67;0.42;0.08;0.85;0.18;45.5;0.25;4.06
Leo Dubois;FB;Lyon;2903;0.06;0.03;0.05;1.11;61;2.48;0.18;1.67;1.08;62.5;0.77;3.78
Martin Dúbravka;GK;Newcastle Utd;1170;0;0;0;0;0;0;0;0;0;0;0.08;0.15
Ondrej Duda;AM;Köln;2537;0.25;0.1;0.06;1.45;34.5;1.88;0.15;0.82;1.99;71.8;1.42;4.47
Unai Dufur;CB;Eibar;62;0;0;0;1.43;50;0;0;0;0;0;0;7.14
Haris Duljević;W;Nîmes;773;0;0.13;0.08;0.58;16.1;2.44;0.15;1.74;3.72;69.6;2.79;3.95
Paul Dummett;FB;Newcastle Utd;1255;0.07;0.02;0.1;2.81;55.7;0.5;0.04;0.36;0.14;66.7;0.07;2.01
Alfred Duncan;CM;Fiorentina;162;0;0;0.02;1.11;28.6;0.56;0;0;2.78;100;1.11;2.78
Alfred Duncan;CM;Cagliari;1068;0;0.02;0.03;1.01;46.2;0.5;0.09;1.09;1.09;68.4;1.43;4.62
Lewis Dunk;CB;Brighton;2931;0.15;0.08;0.08;2.12;63.3;1.41;0.03;0.06;0.15;83.3;0.06;2.15
Jimmy Dunne;CB;Burnley;270;0.33;0.13;0.06;7.67;76.7;5;0.03;0.33;0.33;50;0;3.67
Erik Durm;FB;Eintracht Frankfurt;1480;0.06;0.1;0.08;1.34;48.9;1.95;0.13;0.91;0.67;57.9;0.91;4.82
Hugo Duro;FW;Real Madrid;55;0;0.17;0.14;1.67;16.7;5;0.17;1.67;0;0;0;0
Jean-Kevin Duverne;CB;Brest;2029;0.04;0.03;0.07;2.09;51.1;0.62;0.03;0.18;0.76;85;0.58;3.47
Paulo Dybala;AM;Juventus;1132;0.32;0.37;0.09;0.08;8.3;5.32;0.23;2.06;2.14;62.8;2.06;4.52
Edin Džeko;FW;Roma;1824;0.34;0.6;0.17;4.53;63;6.9;0.12;0.79;1.23;48.1;2.07;2.71
Eric Junior Dina Ebimbe;W;Dijon;2144;0.04;0.16;0.08;0.63;34.1;3.15;0.08;0.76;2.56;60.4;2.61;4.03
