Player;Pos;Squad;Min;Goals;Non-penalty Expected Goals;Non-penalty Expected Goals/Shot;Aerial Duels Won;Aerial Duels Won %;Touches Inside Opposition's Penalty Box;Expected Assists;Completed Passes into Penalty Box;Successful Dribbles;Successful Dribbles %;Dispossessed;Successful Pressures
Leander Dendoncker;CM;Wolves;2503;0.04;0.12;0.1;2.99;61.9;2.12;0.03;0.29;0.4;68.8;0.32;5.36
Kevin Denkey;FW;Nîmes;524;0.17;0.31;0.1;1.03;27.3;5.52;0.1;0.52;0.86;41.7;1.21;2.93
Emmanuel Dennis;FW;Köln;474;0;0.11;0.11;1.7;33.3;5.47;0.23;0.57;2.64;58.3;2.45;5.47
Stefano Denswil;CB;Bologna;115;0;0;0;2.31;75;0;0;0.77;0.77;100;0;5.38
Fabio Depaoli;FB;Benevento;1120;0;0.02;0.03;1.21;62.5;0.97;0.03;1.21;0.32;40;0.32;5.48
Fabio Depaoli;FB;Sampdoria;77;0;0.22;0.08;0;0;1.11;0.11;0;0;0;0;4.44
Fabio Depaoli;FB;Atalanta;191;0;0;0;1.43;60;2.38;0.05;0.48;0.48;100;2.38;4.29
Memphis Depay;FW;Lyon;2923;0.62;0.36;0.11;0.49;33.3;6.28;0.42;1.85;2.71;62;2.71;2.28
Clément Depres;FW;Nîmes;14;0;0;0;0;0;0;0;0;0;0;0;0
Mike van der Hoorn;CB;Arminia;1356;0;0.02;0.08;3.64;60.4;0.6;0.01;0.2;0.07;50;0.26;2.12
Kastriot Dermaku;CB;Parma;100;0;0;0;0;0;0;0;0;0;0;0;2.73
Kiril Despodov;W;Cagliari;11;0;0;0;0;0;0;0;0;0;0;0;20
Sergiño Dest;FB;Barcelona;1886;0.1;0.12;0.18;0.24;31.3;4.14;0.12;1.24;1.57;55.9;1.43;4.43
Mattia Destro;FW;Genoa;1606;0.62;0.38;0.18;1.8;29.4;4.38;0.03;0.28;1.24;48.9;1.74;3.65
Gerard Deulofeu;W;Udinese;598;0.15;0.2;0.08;0;0;6.82;0.17;1.82;1.52;47.6;1.36;4.55
Deyverson;FW;Alavés;874;0.1;0.19;0.13;6.7;57;3.2;0.16;0.82;0.62;40;1.34;5.15
Jacopo Dezi;CM;Parma;79;0;0;0.05;0;0;2.22;0.22;1.11;1.11;50;2.22;3.33
Samuel Di Carmine;FW;Hellas Verona;500;0;0.29;0.17;5.36;51.7;5.71;0.02;0.36;0.18;100;2.14;2.86
Samuel Di Carmine;FW;Crotone;475;0;0.08;0.07;2.26;42.9;2.26;0;0.57;0;0;1.51;1.51
Giovanni Di Lorenzo;FB;Napoli;3240;0.08;0.11;0.12;1.61;56.9;1.97;0.13;1.67;0.78;50;0.58;3.89
Ángel Di María;W;Paris Saint-Germain;1853;0.24;0.25;0.09;0;0;4.56;0.51;3.59;2.23;51.7;1.7;4.47
Alessandro Di Pardo;W;Juventus;14;0;0;0;0;0;0;0;0;10;100;0;5
Giuseppe Di Serio;FW;Benevento;292;0;0.19;0.13;3.44;47.8;3.44;0;1.25;1.25;100;3.44;3.13
Boulaye Dia;FW;Reims;2930;0.43;0.29;0.16;0.95;23.7;4.39;0.06;0.49;1.47;61.5;2.12;3.19
Abdoulay Diaby;W;Getafe;18;0;1.5;0.34;0;0;15;0.5;0;0;0;5;0
Moussa Diaby;W;Leverkusen;2388;0.15;0.21;0.11;0.19;21.7;4.3;0.26;1.58;2.15;46.7;2.11;2.75
Mbaye Diagne;FW;West Brom;1189;0.23;0.38;0.2;3.64;32.4;3.64;0.13;0.38;0.98;81.3;1.97;3.03
Mouctar Diakhaby;CB;Valencia;2079;0.04;0.05;0.1;2.16;75.8;1.04;0;0.04;0.13;60;0.17;2.34
Abdou Diallo;CB;Paris Saint-Germain;1490;0;0.02;0.07;1.45;61.5;0.42;0.03;0.3;1.2;57.1;0.24;2.47
Amad Diallo;W;Manchester Utd;166;0;0;0.04;0.56;33.3;2.22;0.28;0.56;1.67;33.3;3.33;7.78
Amad Diallo;W;Atalanta;14;0;0;0.03;0;0;0;0.5;5;10;100;0;0
Habib Diallo;FW;Strasbourg;2322;0.35;0.25;0.12;3.26;43.5;4.53;0.12;0.66;0.62;44.4;1.78;2.79
Habib Diallo;FW;Metz;143;0;0.25;0.19;6.25;40;5;0.19;1.88;0;0;4.38;3.75
Ibrahima Diallo;CM;Southampton;1020;0;0.05;0.08;0.71;29.6;0.88;0.04;0.53;0.97;64.7;1.86;7.26
Ibrahima Diallo;CM;Brest;440;0;0;0.02;0.41;40;0.41;0.08;0.2;1.43;77.8;1.02;4.9
Amadou Diambo;CM;Benevento;3;0;0;0;0;0;0;0;0;2;66.7;0;0
Grady Diangana;W;West Brom;1235;0.07;0.09;0.09;1.09;28.8;2.34;0.01;0.51;1.75;48;2.99;4.89
Stéphane Diarra;W;Lorient;197;0;0.05;0.05;0.91;50;3.18;0.14;3.64;1.82;30.8;5.91;4.55
Raphael Dias Belloli;W;Leeds United;2360;0.23;0.23;0.09;0.46;24;5.15;0.31;1.6;2.33;51.7;1.37;3.74
Raphael Dias Belloli;W;Rennes;404;0.22;0.27;0.11;0.67;25;4.22;0.22;1.33;2.89;46.4;1.56;2.44
Rúben Dias;CB;Manchester City;2843;0.03;0.08;0.17;1.9;68.2;0.89;0;0.28;0.09;50;0.16;2.12
Krepin Diatta;W;Monaco;389;0.23;0.12;0.18;1.63;46.7;3.26;0.02;0.23;2.09;69.2;3.26;4.65
Amadou Diawara;CM;Roma;658;0.14;0.15;0.16;0.41;50;0.41;0.08;0.27;0.41;60;0.68;5.75
Brahim Díaz;AM;Milan;1228;0.29;0.24;0.13;0.44;16.7;4.04;0.12;0.74;2.43;63.5;2.65;5.59
Víctor Díaz;FB;Granada;828;0;0.03;0.05;1.74;55.2;0.33;0.03;0.65;0.11;20;0.11;3.26
Daniel Didavi;AM;Stuttgart;970;0.37;0.3;0.13;0.83;45;3.06;0.28;2.04;0.93;76.9;1.76;5.09
Eric Dier;CB;Tottenham;2520;0;0.03;0.06;3.21;65.2;0.75;0;0.18;0.11;60;0.07;1.71
Daan Dierckx;CB;Parma;471;0;0;0;0.58;21.4;0.38;0;0.19;0;0;0.19;3.27
Lucas Digne;FB;Everton;2681;0;0.02;0.04;3.15;70.7;1.31;0.18;1.24;0.47;60.9;1.07;3.59
Virgil van Dijk;CB;Liverpool;370;0.24;0.07;0.08;3.9;69.6;1.22;0;0;0;0;0;0.73
Mitchell Dijks;FB;Bologna;1481;0;0;0.02;0.73;41.4;1.33;0.01;0.36;1.76;46;1.09;4.48
Javairô Dilrosun;W;Hertha BSC;529;0;0.14;0.1;0.17;12.5;3.22;0.07;1.53;2.03;48;1.53;5.76
Federico Dimarco;FB;Hellas Verona;2613;0.17;0.08;0.06;0.45;30.2;2.31;0.23;1.28;0.48;58.3;0.55;3.03
Tristan Dingomé;CM;Reims;15;0;0;0;0;0;0;0;0;0;0;0;0
Eren Dinkçi;FW;Werder Bremen;108;0.83;0.33;0.15;2.5;50;6.67;0.08;1.67;0.83;33.3;4.17;1.67
Sinaly Diomande;CB;Lyon;1133;0;0.08;0.06;4.05;77.3;1.35;0.02;0.24;0.48;75;0.08;2.7
Lois Diony;FW;Angers;1749;0.26;0.18;0.13;2.22;35;4.12;0.07;0.67;0.72;28;2.22;4.18
Issa Diop;CB;West Ham;1381;0.13;0.02;0.11;1.96;60;0.46;0;0;0.33;100;0.2;2.68
Papakouli Diop;CM;Eibar;2324;0.04;0.07;0.07;3.33;55.5;1.16;0.04;0.39;0.31;61.5;0.62;4.42
Sofiane Diop;AM;Monaco;2023;0.31;0.2;0.1;0.98;44;3.2;0.1;1.11;1.69;62.3;2.4;6.27
Andy Diouf;W;Rennes;12;0;0;0;10;100;0;0;0;0;0;0;0
Yehvann Diouf;GK;Reims;135;0;0;0;0;0;0;0;0;0.67;100;0;0
Assane Dioussé;CM;Saint-Étienne;1;0;0;0;0;0;0;0;0;0;0;0;0
Axel Disasi;CB;Monaco;2011;0.13;0.1;0.12;2.47;64.7;1.03;0.02;0.31;0.36;100;0.27;3.36
Tiago Djaló;CB;Lille;873;0;0;0.01;1.13;61.1;0.52;0.02;0.21;0.82;57.1;0.93;3.92
Djené;CB;Getafe;2941;0;0.01;0.09;2.17;61.7;0.31;0;0.06;0.28;69.2;0.34;3.12
Moussa Djenepo;W;Southampton;1240;0.07;0.07;0.06;0.8;25;3.26;0.04;0.94;2.54;53.8;1.67;6.88
Koffi Djidji;CB;Crotone;1524;0.06;0.02;0.11;2.01;58.6;0.36;0.01;0.06;0.47;61.5;0.65;4.56
Alexander Djiku;CB;Strasbourg;2552;0;0.06;0.13;2.32;69.5;0.7;0.02;0.04;0.25;87.5;0.28;3.59
Berat Djimsiti;CB;Atalanta;2625;0;0.07;0.1;2.67;72.2;1.85;0.08;0.72;0.24;70;0.41;4.18
Marko Dmitrović;GK;Eibar;3120;0.03;0;0.07;0;0;0.06;0.01;0.06;0.03;100;0;0
Ritsu Doan;W;Arminia;2768;0.16;0.16;0.07;1.04;34.8;3.15;0.11;1.07;2.21;52.3;2.76;6.56
Mihai Dobre;W;Dijon;529;0;0.08;0.06;2.37;58.3;2.54;0.05;0;2.54;65.2;1.86;4.75
Matt Doherty;FB;Tottenham;1240;0;0.03;0.14;3.91;70.1;1.59;0.06;1.01;0.51;43.8;0.87;2.75
Jeremy Doku;W;Rennes;2313;0.08;0.14;0.1;0.31;34.8;5.1;0.14;2.26;3.46;58.2;3.04;5.29
Kasper Dolberg;FW;Nice;1928;0.28;0.28;0.17;1.07;43.4;3.22;0.05;0.14;0.65;48.3;2.15;3.22
Keagan Dolly;W;Montpellier;452;0;0.02;0.02;0.2;12.5;1.2;0.04;0.2;0.8;44.4;1.6;3
Jaume Doménech;GK;Valencia;2520;0;0;0;0;0;0;0;0;0.04;100;0;0.04
Carlos Dominguez;CB;Celta Vigo;360;0;0.03;0.11;2.5;43.5;0.75;0.03;0;0;0;0;2.25
Nicolás Domínguez;CM;Bologna;1255;0.07;0.11;0.08;1.73;50;2.09;0.17;1.01;0.65;90;1.22;6.62
John Donald;CM;Elche;50;0;0;0;0;0;0;0;0;0;0;0;3.33
Ji Dong-won;FW;Mainz 05;62;0;0;0;7.14;55.6;2.86;0;0;0;0;0;5.71
