Player;Pos;Squad;Min;Save %;Expected Post-Shot xG;Expected Post-Shot xG/Shots on Target;Crosses Stopped %;Passes Launched %
Juan Musso;GK;Udinese;3147;72.9;1.53;0.31;9.9;40.2
Paul Nardi;GK;Lorient;2070;63;1.37;0.27;5;48.9
Keylor Navas;GK;Paris S-G;2520;80.9;0.79;0.23;3.5;26.4
Neto;GK;Barcelona;630;81;0.96;0.24;6.3;21
Manuel Neuer;GK;Bayern Munich;2970;67.5;1.34;0.34;2.6;30.9
Will Norris;GK;Burnley;180;33.3;0.55;0.19;5.6;89.2
Alexander Nübel;GK;Bayern Munich;90;50;1.9;0.47;0;11.1
Jan Oblak;GK;Atlético Madrid;3420;80;0.84;0.25;5.8;59.5
Robin Olsen;GK;Everton;630;70.4;1.36;0.33;7.8;49.3
Jonas Omlin;GK;Montpellier;2673;72.8;1.72;0.29;9;46.1
Stefan Ortega;GK;Arminia;3060;71.7;1.53;0.29;8.3;51.1
David Ospina;GK;Napoli;1440;76.9;0.82;0.27;9.4;29.6
Alexandre Oukidja;GK;Metz;3058;74.4;1.19;0.27;11.8;52.9
Fernando Pacheco;GK;Alavés;3349;62;1.48;0.38;9.4;58.2
Daniele Padelli;GK;Inter;45;100;2;0.14;0;11.1
Alberto Paleari;GK;Genoa;206;75;1.7;0.34;0;47.5
Ivor Pandur;GK;Hellas Verona;332;53.8;1.43;0.41;3.8;48.1
Rui Patrício;GK;Wolves;3329;68.6;1.21;0.28;5.9;53
Jiří Pavlenka;GK;Werder Bremen;3060;64.7;1.39;0.28;5.8;42.7
Bailey Peacock-Farrell;GK;Burnley;360;44;2.38;0.38;0;81
Gianluca Pegolo;GK;Sassuolo;90;100;0;0.04;0;7.7
Yohann Pelé;GK;Marseille;90;60;2.4;0.47;12.5;0
Philipp Pentke;GK;Hoffenheim;270;76.9;1.53;0.35;0;25.6
Juan Pérez;GK;Osasuna;270;71.4;0.87;0.25;0;56.9
Mattia Perin;GK;Genoa;2879;75.3;1.46;0.28;5;54.8
Pavao Pervan;GK;Wolfsburg;180;71.4;2.35;0.34;10;39.6
Jordan Pickford;GK;Everton;2742;71.1;1.28;0.3;8.1;53.3
Carlo Pinsoglio;GK;Juventus;23;50;3.33;0.52;0;22.2
Nick Pope;GK;Burnley;2880;77;1.28;0.26;12.9;74.3
Ivan Provedel;GK;Spezia;2610;60.5;1.69;0.35;9.5;42.7
Anthony Racioppi;GK;Dijon;1890;67.7;1.67;0.35;6.5;42.5
Ionuț Radu;GK;Inter;135;83.3;0.93;0.23;0;8.9
Rafael;GK;Spezia;207;73.7;1.74;0.21;3.2;43.8
Predrag Rajković;GK;Reims;3285;71.3;1.34;0.29;5.9;45.7
Aaron Ramsdale;GK;Sheffield Utd;3420;70.7;1.63;0.29;9.5;70
Darren Randolph;GK;West Ham;270;66.7;1.2;0.4;0;65.9
Federico Ravaglia;GK;Bologna;360;50;1.95;0.41;4.8;22.6
